player=0,SET:ACFG
player=1,SET:BCEF
player=0,MOV:A,N
player=1,MOV:A,N
player=0,MOV:A,N
player=1,MOV:D,E
player=0,MOV:A,N
player=1,MOV:C,E
player=0,MOV:B,N
player=1,MOV:A,S
player=0,MOV:B,N
player=1,MOV:A,N
player=0,MOV:B,S
player=1,MOV:A,S
player=0,MOV:B,N
player=1,MOV:A,N
player=0,MOV:B,S
player=1,MOV:A,S
player=0,MOV:B,N
player=1,MOV:A,N
player=0,MOV:B,S
player=1,MOV:A,S
player=0,MOV:B,N
player=1,MOV:A,N
player=0,MOV:B,S
player=1,MOV:A,S
player=0,MOV:B,N
player=1,MOV:A,N
player=0,MOV:B,S
player=1,MOV:A,S
player=0,MOV:B,N
player=1,MOV:A,N
player=0,MOV:B,S
player=1,MOV:A,S
player=0,MOV:B,N
player=1,MOV:A,N
player=0,MOV:B,S
player=1,MOV:A,S
player=0,MOV:B,N
player=1,MOV:A,N
player=0,MOV:B,S
player=1,MOV:A,S
player=0,MOV:B,N
player=1,MOV:A,N
player=0,MOV:B,S
player=1,MOV:A,S
player=0,MOV:B,N
player=1,MOV:A,N
player=0,MOV:B,S
player=1,MOV:A,S
player=0,MOV:B,N
player=1,MOV:A,N
player=0,MOV:B,S
player=1,MOV:A,S
player=0,MOV:B,N
player=1,MOV:A,N
player=0,MOV:B,S
player=1,MOV:A,S
player=0,MOV:B,N
player=1,MOV:A,N
player=0,MOV:B,S
player=1,MOV:A,S
player=0,MOV:B,N
player=1,MOV:A,N
player=0,MOV:B,S
player=1,MOV:A,S
player=0,MOV:B,N
player=1,MOV:A,N
player=0,MOV:B,S
player=1,MOV:A,S
player=0,MOV:B,N
player=1,MOV:A,N
player=0,MOV:B,S
player=1,MOV:A,S
player=0,MOV:B,N
player=1,MOV:A,N
player=0,MOV:B,S
player=1,MOV:A,S
player=0,MOV:B,N
player=1,MOV:A,N
player=0,MOV:B,S
player=1,MOV:A,S
player=0,MOV:B,N
player=1,MOV:A,N
player=0,MOV:B,S
player=1,MOV:A,S
player=0,MOV:B,N
player=1,MOV:A,N
player=0,MOV:B,S
player=1,MOV:A,S
player=0,MOV:B,N
player=1,MOV:A,N
player=0,MOV:B,S
player=1,MOV:A,S
player=0,MOV:B,N
player=1,MOV:A,N
player=0,MOV:B,S
player=1,MOV:A,S
player=0,MOV:B,N
player=1,MOV:A,N
player=0,MOV:B,S
player=1,MOV:A,S
player=0,MOV:B,N
player=1,MOV:A,N
player=0,MOV:B,S
player=1,MOV:A,S
player=0,MOV:B,N
player=1,MOV:A,N
player=0,MOV:B,S
player=1,MOV:A,S
player=0,MOV:B,N
player=1,MOV:A,N
player=0,MOV:B,S
player=1,MOV:A,S
player=0,MOV:B,N
player=1,MOV:A,N
player=0,MOV:B,S
player=1,MOV:A,S
player=0,MOV:B,N
player=1,MOV:A,N
player=0,MOV:B,S
player=1,MOV:A,S
player=0,MOV:B,N
player=1,MOV:A,N
player=0,MOV:B,S
player=1,MOV:A,S
player=0,MOV:B,N
player=1,MOV:A,N
player=0,MOV:B,S
player=1,MOV:A,S
player=0,MOV:B,N
player=1,MOV:A,N
player=0,MOV:B,S
player=1,MOV:A,S
player=0,MOV:B,N
player=1,MOV:A,N
player=0,MOV:B,S
player=1,MOV:A,S
player=0,MOV:B,N
player=1,MOV:A,N
player=0,MOV:B,S
player=1,MOV:A,S
player=0,MOV:B,N
player=1,MOV:A,N
player=0,MOV:B,S
player=1,MOV:A,S
player=0,MOV:B,N
player=1,MOV:A,N
player=0,MOV:B,S
player=1,MOV:A,S
player=0,MOV:B,N
player=1,MOV:A,N
player=0,MOV:B,S
player=1,MOV:A,S
player=0,MOV:B,N
player=1,MOV:A,N
player=0,MOV:B,S
player=1,MOV:A,S
player=0,MOV:B,N
player=1,MOV:A,N
player=0,MOV:B,S
player=1,MOV:A,S
player=0,MOV:B,N
player=1,MOV:A,N
player=0,MOV:B,S
player=1,MOV:A,S
player=0,MOV:B,N
player=1,MOV:A,N
player=0,MOV:B,S
player=1,MOV:A,S
player=0,MOV:B,N
player=1,MOV:A,N
player=0,MOV:B,S
player=1,MOV:A,S
player=0,MOV:B,N
player=1,MOV:A,N
player=0,MOV:B,S
player=1,MOV:A,S
player=0,MOV:B,N
player=1,MOV:A,N
player=0,MOV:B,S
player=1,MOV:A,S
player=0,MOV:B,N
player=1,MOV:A,N
player=0,MOV:B,S
player=1,MOV:A,S
player=0,MOV:B,N
player=1,MOV:A,N
player=0,MOV:B,S
player=1,MOV:A,S
player=0,MOV:B,N
player=1,MOV:A,N
player=0,MOV:B,S
player=1,MOV:A,S
player=0,MOV:B,N
player=1,MOV:A,N
player=0,MOV:B,S
player=1,MOV:A,S
player=0,MOV:B,N
player=1,MOV:A,N
player=0,MOV:B,S
player=1,MOV:A,S
player=0,MOV:B,N
player=1,MOV:A,N
player=0,MOV:B,S
player=1,MOV:A,S
player=0,MOV:B,N
player=1,MOV:A,N
player=0,MOV:B,S
player=1,MOV:A,S
player=0,MOV:B,N
player=1,MOV:A,N
player=0,MOV:B,S
player=1,MOV:A,S
player=0,MOV:B,N
player=1,MOV:A,N
player=0,MOV:B,S
player=1,MOV:A,S
player=0,MOV:B,N
player=1,MOV:A,N
player=0,MOV:B,S
player=1,MOV:A,S
player=0,MOV:B,N
player=1,MOV:A,N
player=0,MOV:B,S
player=1,MOV:A,S
player=0,MOV:B,N
player=1,MOV:A,N
player=0,MOV:B,S
player=1,MOV:A,S
player=0,MOV:B,N
player=1,MOV:A,N
player=0,MOV:B,S
player=1,MOV:A,S
player=0,MOV:B,N
player=1,MOV:A,N
player=0,MOV:B,S
player=1,MOV:A,S
player=0,MOV:B,N
player=1,MOV:A,N
player=0,MOV:B,S
player=1,MOV:A,S
player=0,MOV:B,N
player=1,MOV:A,N
player=0,MOV:B,S
player=1,MOV:A,S
player=0,MOV:B,N
player=1,MOV:A,N
player=0,MOV:B,S
player=1,MOV:A,S
player=0,MOV:B,N
player=1,MOV:A,N
player=0,MOV:B,S
player=1,MOV:A,S
player=0,MOV:B,N
player=1,MOV:A,N
player=0,MOV:B,S
player=1,MOV:A,S
player=0,MOV:B,N
player=1,MOV:A,N
player=0,MOV:B,S
player=1,MOV:A,S
player=0,MOV:B,N
player=1,MOV:A,N
player=0,MOV:B,S
player=1,MOV:A,S
player=0,MOV:B,N
player=1,MOV:A,N
player=0,MOV:B,S
player=1,MOV:A,S
player=0,MOV:B,N
player=1,MOV:A,N
player=0,MOV:B,S
player=1,MOV:A,S
player=0,MOV:B,N
player=1,MOV:A,N
player=0,MOV:B,S
player=1,MOV:A,S
player=0,MOV:B,N
player=1,MOV:A,N
player=0,MOV:B,S
player=1,MOV:A,S
player=0,MOV:B,N
player=1,MOV:A,N
player=0,MOV:B,S
player=1,MOV:A,S
player=0,MOV:B,N
player=1,MOV:A,N
player=0,MOV:B,S
player=1,MOV:A,S
player=0,MOV:B,N
player=1,MOV:A,N
player=0,MOV:B,S
player=1,MOV:A,S
player=0,MOV:B,N
player=1,MOV:A,N
player=0,MOV:B,S
player=1,MOV:A,S
player=0,MOV:B,N
player=1,MOV:A,N
player=0,MOV:B,S
player=1,MOV:A,S
winner=2
