player=0,SET:CEFH
player=1,SET:AEFG
player=0,MOV:A,N
player=1,MOV:A,N
player=0,MOV:A,E
player=1,MOV:D,E
player=0,MOV:A,W
player=1,MOV:A,N
player=0,MOV:D,N
player=1,MOV:B,N
player=0,MOV:A,N
player=1,MOV:B,S
player=0,MOV:A,S
player=1,MOV:B,N
player=0,MOV:A,N
player=1,MOV:B,S
player=0,MOV:A,S
player=1,MOV:B,N
player=0,MOV:A,N
player=1,MOV:B,S
player=0,MOV:A,S
player=1,MOV:B,N
player=0,MOV:A,N
player=1,MOV:B,S
player=0,MOV:A,S
player=1,MOV:B,N
player=0,MOV:A,N
player=1,MOV:B,S
player=0,MOV:A,S
player=1,MOV:B,N
player=0,MOV:A,N
player=1,MOV:B,S
player=0,MOV:A,S
player=1,MOV:B,N
player=0,MOV:A,N
player=1,MOV:B,S
player=0,MOV:A,S
player=1,MOV:B,N
player=0,MOV:A,N
player=1,MOV:B,S
player=0,MOV:A,S
player=1,MOV:B,N
player=0,MOV:A,N
player=1,MOV:B,S
player=0,MOV:A,S
player=1,MOV:B,N
player=0,MOV:A,N
player=1,MOV:B,S
player=0,MOV:A,S
player=1,MOV:B,N
player=0,MOV:A,N
player=1,MOV:B,S
player=0,MOV:A,S
player=1,MOV:B,N
player=0,MOV:A,N
player=1,MOV:B,S
player=0,MOV:A,S
player=1,MOV:B,N
player=0,MOV:A,N
player=1,MOV:B,S
player=0,MOV:A,S
player=1,MOV:B,N
player=0,MOV:A,N
player=1,MOV:B,S
player=0,MOV:A,S
player=1,MOV:B,N
player=0,MOV:A,N
player=1,MOV:B,S
player=0,MOV:A,S
player=1,MOV:B,N
player=0,MOV:A,N
player=1,MOV:B,S
player=0,MOV:A,S
player=1,MOV:B,N
player=0,MOV:A,N
player=1,MOV:B,S
player=0,MOV:A,S
player=1,MOV:B,N
player=0,MOV:A,N
player=1,MOV:B,S
player=0,MOV:A,S
player=1,MOV:B,N
player=0,MOV:A,N
player=1,MOV:B,S
player=0,MOV:A,S
player=1,MOV:B,N
player=0,MOV:A,N
player=1,MOV:B,S
player=0,MOV:A,S
player=1,MOV:B,N
player=0,MOV:A,N
player=1,MOV:B,S
player=0,MOV:A,S
player=1,MOV:B,N
player=0,MOV:A,N
player=1,MOV:B,S
player=0,MOV:A,S
player=1,MOV:B,N
player=0,MOV:A,N
player=1,MOV:B,S
player=0,MOV:A,S
player=1,MOV:B,N
player=0,MOV:A,N
player=1,MOV:B,S
player=0,MOV:A,S
player=1,MOV:B,N
player=0,MOV:A,N
player=1,MOV:B,S
player=0,MOV:A,S
player=1,MOV:B,N
player=0,MOV:A,N
player=1,MOV:B,S
player=0,MOV:A,S
player=1,MOV:B,N
player=0,MOV:A,N
player=1,MOV:B,S
player=0,MOV:A,S
player=1,MOV:B,N
player=0,MOV:A,N
player=1,MOV:B,S
player=0,MOV:A,S
player=1,MOV:B,N
player=0,MOV:A,N
player=1,MOV:B,S
player=0,MOV:A,S
player=1,MOV:B,N
player=0,MOV:A,N
player=1,MOV:B,S
player=0,MOV:A,S
player=1,MOV:B,N
player=0,MOV:A,N
player=1,MOV:B,S
player=0,MOV:A,S
player=1,MOV:B,N
player=0,MOV:A,N
player=1,MOV:B,S
player=0,MOV:A,S
player=1,MOV:B,N
player=0,MOV:A,N
player=1,MOV:B,S
player=0,MOV:A,S
player=1,MOV:B,N
player=0,MOV:A,N
player=1,MOV:B,S
player=0,MOV:A,S
player=1,MOV:B,N
player=0,MOV:A,N
player=1,MOV:B,S
player=0,MOV:A,S
player=1,MOV:B,N
player=0,MOV:A,N
player=1,MOV:B,S
player=0,MOV:A,S
player=1,MOV:B,N
player=0,MOV:A,N
player=1,MOV:B,S
player=0,MOV:A,S
player=1,MOV:B,N
player=0,MOV:A,N
player=1,MOV:B,S
player=0,MOV:A,S
player=1,MOV:B,N
player=0,MOV:A,N
player=1,MOV:B,S
player=0,MOV:A,S
player=1,MOV:B,N
player=0,MOV:A,N
player=1,MOV:B,S
player=0,MOV:A,S
player=1,MOV:B,N
player=0,MOV:A,N
player=1,MOV:B,S
player=0,MOV:A,S
player=1,MOV:B,N
player=0,MOV:A,N
player=1,MOV:B,S
player=0,MOV:A,S
player=1,MOV:B,N
player=0,MOV:A,N
player=1,MOV:B,S
player=0,MOV:A,S
player=1,MOV:B,N
player=0,MOV:A,N
player=1,MOV:B,S
player=0,MOV:A,S
player=1,MOV:B,N
player=0,MOV:A,N
player=1,MOV:B,S
player=0,MOV:A,S
player=1,MOV:B,N
player=0,MOV:A,N
player=1,MOV:B,S
player=0,MOV:A,S
player=1,MOV:B,N
player=0,MOV:A,N
player=1,MOV:B,S
player=0,MOV:A,S
player=1,MOV:B,N
player=0,MOV:A,N
player=1,MOV:B,S
player=0,MOV:A,S
player=1,MOV:B,N
player=0,MOV:A,N
player=1,MOV:B,S
player=0,MOV:A,S
player=1,MOV:B,N
player=0,MOV:A,N
player=1,MOV:B,S
player=0,MOV:A,S
player=1,MOV:B,N
player=0,MOV:A,N
player=1,MOV:B,S
player=0,MOV:A,S
player=1,MOV:B,N
player=0,MOV:A,N
player=1,MOV:B,S
player=0,MOV:A,S
player=1,MOV:B,N
player=0,MOV:A,N
player=1,MOV:B,S
player=0,MOV:A,S
player=1,MOV:B,N
player=0,MOV:A,N
player=1,MOV:B,S
player=0,MOV:A,S
player=1,MOV:B,N
player=0,MOV:A,N
player=1,MOV:B,S
player=0,MOV:A,S
player=1,MOV:B,N
player=0,MOV:A,N
player=1,MOV:B,S
player=0,MOV:A,S
player=1,MOV:B,N
player=0,MOV:A,N
player=1,MOV:B,S
player=0,MOV:A,S
player=1,MOV:B,N
player=0,MOV:A,N
player=1,MOV:B,S
player=0,MOV:A,S
player=1,MOV:B,N
player=0,MOV:A,N
player=1,MOV:B,S
player=0,MOV:A,S
player=1,MOV:B,N
player=0,MOV:A,N
player=1,MOV:B,S
player=0,MOV:A,S
player=1,MOV:B,N
player=0,MOV:A,N
player=1,MOV:B,S
player=0,MOV:A,S
player=1,MOV:B,N
player=0,MOV:A,N
player=1,MOV:B,S
player=0,MOV:A,S
player=1,MOV:B,N
player=0,MOV:A,N
player=1,MOV:B,S
player=0,MOV:A,S
player=1,MOV:B,N
player=0,MOV:A,N
player=1,MOV:B,S
player=0,MOV:A,S
player=1,MOV:B,N
player=0,MOV:A,N
player=1,MOV:B,S
player=0,MOV:A,S
player=1,MOV:B,N
player=0,MOV:A,N
player=1,MOV:B,S
player=0,MOV:A,S
player=1,MOV:B,N
player=0,MOV:A,N
player=1,MOV:B,S
player=0,MOV:A,S
player=1,MOV:B,N
player=0,MOV:A,N
player=1,MOV:B,S
player=0,MOV:A,S
player=1,MOV:B,N
player=0,MOV:A,N
player=1,MOV:B,S
player=0,MOV:A,S
player=1,MOV:B,N
player=0,MOV:A,N
player=1,MOV:B,S
player=0,MOV:A,S
player=1,MOV:B,N
player=0,MOV:A,N
player=1,MOV:B,S
player=0,MOV:A,S
player=1,MOV:B,N
player=0,MOV:A,N
player=1,MOV:B,S
player=0,MOV:A,S
player=1,MOV:B,N
player=0,MOV:A,N
player=1,MOV:B,S
player=0,MOV:A,S
player=1,MOV:B,N
winner=2
