player=1,SET:ABEH
player=0,SET:BFGH
player=0,MOV:A,N
player=1,MOV:A,N
player=0,MOV:A,E
player=1,MOV:D,E
player=0,MOV:A,W
player=1,MOV:A,N
player=0,MOV:D,N
player=1,MOV:B,N
player=0,MOV:A,N
player=1,MOV:B,N
player=0,MOV:D,W
player=1,MOV:E,N
player=0,MOV:A,S
player=1,MOV:E,N
player=0,MOV:A,N
player=1,MOV:E,N
player=0,MOV:D,E
player=1,MOV:F,N
player=0,MOV:A,S
player=1,MOV:F,N
player=0,MOV:A,N
player=1,MOV:F,S
player=0,MOV:A,S
player=1,MOV:F,N
player=0,MOV:A,N
player=1,MOV:F,S
player=0,MOV:A,S
player=1,MOV:F,N
player=0,MOV:A,N
player=1,MOV:F,S
player=0,MOV:A,S
player=1,MOV:F,N
player=0,MOV:A,N
player=1,MOV:F,S
player=0,MOV:A,S
player=1,MOV:F,N
player=0,MOV:A,N
player=1,MOV:F,S
player=0,MOV:A,S
player=1,MOV:F,N
player=0,MOV:A,N
player=1,MOV:F,S
player=0,MOV:A,S
player=1,MOV:F,N
player=0,MOV:A,N
player=1,MOV:F,S
player=0,MOV:A,S
player=1,MOV:F,N
player=0,MOV:A,N
player=1,MOV:F,S
player=0,MOV:A,S
player=1,MOV:F,N
player=0,MOV:A,N
player=1,MOV:F,S
player=0,MOV:A,S
player=1,MOV:F,N
player=0,MOV:A,N
player=1,MOV:F,S
player=0,MOV:A,S
player=1,MOV:F,N
player=0,MOV:A,N
player=1,MOV:F,S
player=0,MOV:A,S
player=1,MOV:F,N
player=0,MOV:A,N
player=1,MOV:F,S
player=0,MOV:A,S
player=1,MOV:F,N
player=0,MOV:A,N
player=1,MOV:F,S
player=0,MOV:A,S
player=1,MOV:F,N
player=0,MOV:A,N
player=1,MOV:F,S
player=0,MOV:A,S
player=1,MOV:F,N
player=0,MOV:A,N
player=1,MOV:F,S
player=0,MOV:A,S
player=1,MOV:F,N
player=0,MOV:A,N
player=1,MOV:F,S
player=0,MOV:A,S
player=1,MOV:F,N
player=0,MOV:A,N
player=1,MOV:F,S
player=0,MOV:A,S
player=1,MOV:F,N
player=0,MOV:A,N
player=1,MOV:F,S
player=0,MOV:A,S
player=1,MOV:F,N
player=0,MOV:A,N
player=1,MOV:F,S
player=0,MOV:A,S
player=1,MOV:F,N
player=0,MOV:A,N
player=1,MOV:F,S
player=0,MOV:A,S
player=1,MOV:F,N
player=0,MOV:A,N
player=1,MOV:F,S
player=0,MOV:A,S
player=1,MOV:F,N
player=0,MOV:A,N
player=1,MOV:F,S
player=0,MOV:A,S
player=1,MOV:F,N
player=0,MOV:A,N
player=1,MOV:F,S
player=0,MOV:A,S
player=1,MOV:F,N
player=0,MOV:A,N
player=1,MOV:F,S
player=0,MOV:A,S
player=1,MOV:F,N
player=0,MOV:A,N
player=1,MOV:F,S
player=0,MOV:A,S
player=1,MOV:F,N
player=0,MOV:A,N
player=1,MOV:F,S
player=0,MOV:A,S
player=1,MOV:F,N
player=0,MOV:A,N
player=1,MOV:F,S
player=0,MOV:A,S
player=1,MOV:F,N
player=0,MOV:A,N
player=1,MOV:F,S
player=0,MOV:A,S
player=1,MOV:F,N
player=0,MOV:A,N
player=1,MOV:F,S
player=0,MOV:A,S
player=1,MOV:F,N
player=0,MOV:A,N
player=1,MOV:F,S
player=0,MOV:A,S
player=1,MOV:F,N
player=0,MOV:A,N
player=1,MOV:F,S
player=0,MOV:A,S
player=1,MOV:F,N
player=0,MOV:A,N
player=1,MOV:F,S
player=0,MOV:A,S
player=1,MOV:F,N
player=0,MOV:A,N
player=1,MOV:F,S
player=0,MOV:A,S
player=1,MOV:F,N
player=0,MOV:A,N
player=1,MOV:F,S
player=0,MOV:A,S
player=1,MOV:F,N
player=0,MOV:A,N
player=1,MOV:F,S
player=0,MOV:A,S
player=1,MOV:F,N
player=0,MOV:A,N
player=1,MOV:F,S
player=0,MOV:A,S
player=1,MOV:F,N
player=0,MOV:A,N
player=1,MOV:F,S
player=0,MOV:A,S
player=1,MOV:F,N
player=0,MOV:A,N
player=1,MOV:F,S
player=0,MOV:A,S
player=1,MOV:F,N
player=0,MOV:A,N
player=1,MOV:F,S
player=0,MOV:A,S
player=1,MOV:F,N
player=0,MOV:A,N
player=1,MOV:F,S
player=0,MOV:A,S
player=1,MOV:F,N
player=0,MOV:A,N
player=1,MOV:F,S
player=0,MOV:A,S
player=1,MOV:F,N
player=0,MOV:A,N
player=1,MOV:F,S
player=0,MOV:A,S
player=1,MOV:F,N
player=0,MOV:A,N
player=1,MOV:F,S
player=0,MOV:A,S
player=1,MOV:F,N
player=0,MOV:A,N
player=1,MOV:F,S
player=0,MOV:A,S
player=1,MOV:F,N
player=0,MOV:A,N
player=1,MOV:F,S
player=0,MOV:A,S
player=1,MOV:F,N
player=0,MOV:A,N
player=1,MOV:F,S
player=0,MOV:A,S
player=1,MOV:F,N
player=0,MOV:A,N
player=1,MOV:F,S
player=0,MOV:A,S
player=1,MOV:F,N
player=0,MOV:A,N
player=1,MOV:F,S
player=0,MOV:A,S
player=1,MOV:F,N
player=0,MOV:A,N
player=1,MOV:F,S
player=0,MOV:A,S
player=1,MOV:F,N
player=0,MOV:A,N
player=1,MOV:F,S
player=0,MOV:A,S
player=1,MOV:F,N
player=0,MOV:A,N
player=1,MOV:F,S
player=0,MOV:A,S
player=1,MOV:F,N
player=0,MOV:A,N
player=1,MOV:F,S
player=0,MOV:A,S
player=1,MOV:F,N
player=0,MOV:A,N
player=1,MOV:F,S
player=0,MOV:A,S
player=1,MOV:F,N
player=0,MOV:A,N
player=1,MOV:F,S
player=0,MOV:A,S
player=1,MOV:F,N
player=0,MOV:A,N
player=1,MOV:F,S
player=0,MOV:A,S
player=1,MOV:F,N
player=0,MOV:A,N
player=1,MOV:F,S
player=0,MOV:A,S
player=1,MOV:F,N
player=0,MOV:A,N
player=1,MOV:F,S
player=0,MOV:A,S
player=1,MOV:F,N
player=0,MOV:A,N
player=1,MOV:F,S
player=0,MOV:A,S
player=1,MOV:F,N
player=0,MOV:A,N
player=1,MOV:F,S
player=0,MOV:A,S
player=1,MOV:F,N
player=0,MOV:A,N
player=1,MOV:F,S
player=0,MOV:A,S
player=1,MOV:F,N
player=0,MOV:A,N
player=1,MOV:F,S
player=0,MOV:A,S
player=1,MOV:F,N
player=0,MOV:A,N
player=1,MOV:F,S
player=0,MOV:A,S
player=1,MOV:F,N
player=0,MOV:A,N
player=1,MOV:F,S
player=0,MOV:A,S
player=1,MOV:F,N
player=0,MOV:A,N
player=1,MOV:F,S
player=0,MOV:A,S
player=1,MOV:F,N
player=0,MOV:A,N
player=1,MOV:F,S
player=0,MOV:A,S
player=1,MOV:F,N
player=0,MOV:A,N
player=1,MOV:F,S
player=0,MOV:A,S
player=1,MOV:F,N
player=0,MOV:A,N
player=1,MOV:F,S
player=0,MOV:A,S
player=1,MOV:F,N
player=0,MOV:A,N
player=1,MOV:F,S
player=0,MOV:A,S
player=1,MOV:F,N
player=0,MOV:A,N
player=1,MOV:F,S
player=0,MOV:A,S
player=1,MOV:F,N
player=0,MOV:A,N
player=1,MOV:F,S
player=0,MOV:A,S
player=1,MOV:F,N
winner=2
