player=1,SET:BDEG
player=0,SET:DFGH
player=0,MOV:A,W
player=1,MOV:A,N
player=0,MOV:D,N
player=1,MOV:A,N
player=0,MOV:E,W
player=1,MOV:A,S
player=0,MOV:F,W
player=1,MOV:A,N
player=0,MOV:H,E
player=1,MOV:A,S
player=0,MOV:F,N
player=1,MOV:A,N
player=0,MOV:F,N
player=1,MOV:A,S
player=0,MOV:F,N
player=1,MOV:A,N
player=0,MOV:F,W
player=1,MOV:A,S
player=0,MOV:F,N
player=1,MOV:A,N
player=0,MOV:F,N
player=1,MOV:H,E
player=0,MOV:H,N
player=1,MOV:A,S
player=0,MOV:H,N
player=1,MOV:A,E
player=0,MOV:C,E
player=1,MOV:A,N
player=0,MOV:B,W
player=1,MOV:A,E
player=0,MOV:H,N
player=1,MOV:A,S
player=0,MOV:H,N
player=1,MOV:A,N
player=0,MOV:H,N
player=1,MOV:E,W
player=0,MOV:B,S
player=1,MOV:A,N
player=0,MOV:A,N
player=1,MOV:A,S
player=0,MOV:A,S
player=1,MOV:A,N
player=0,MOV:A,N
player=1,MOV:A,S
player=0,MOV:A,S
player=1,MOV:A,N
player=0,MOV:A,N
player=1,MOV:A,S
player=0,MOV:A,S
player=1,MOV:A,N
player=0,MOV:A,N
player=1,MOV:A,S
player=0,MOV:A,S
player=1,MOV:A,N
player=0,MOV:A,N
player=1,MOV:A,S
player=0,MOV:A,S
player=1,MOV:A,N
player=0,MOV:A,N
player=1,MOV:A,S
player=0,MOV:A,S
player=1,MOV:A,N
player=0,MOV:A,N
player=1,MOV:A,S
player=0,MOV:A,S
player=1,MOV:A,N
player=0,MOV:A,N
player=1,MOV:A,S
player=0,MOV:A,S
player=1,MOV:A,N
player=0,MOV:A,N
player=1,MOV:A,S
player=0,MOV:A,S
player=1,MOV:A,N
player=0,MOV:A,N
player=1,MOV:A,S
player=0,MOV:A,S
player=1,MOV:A,N
player=0,MOV:A,N
player=1,MOV:A,S
player=0,MOV:A,S
player=1,MOV:A,N
player=0,MOV:A,N
player=1,MOV:A,S
player=0,MOV:A,S
player=1,MOV:A,N
player=0,MOV:A,N
player=1,MOV:A,S
player=0,MOV:A,S
player=1,MOV:A,N
player=0,MOV:A,N
player=1,MOV:A,S
player=0,MOV:A,S
player=1,MOV:A,N
player=0,MOV:A,N
player=1,MOV:A,S
