player=0,SET:ACDG
player=1,SET:DEFH
player=0,MOV:A,N
player=1,MOV:A,N
player=0,MOV:D,N
player=1,MOV:A,N
player=0,MOV:C,E
player=1,MOV:A,E
player=0,MOV:A,E
player=1,MOV:A,S
player=0,MOV:A,N
player=1,MOV:A,E
player=0,MOV:B,W
player=1,MOV:A,N
player=0,MOV:C,N
player=1,MOV:A,S
player=0,MOV:C,N
player=1,MOV:A,N
player=0,MOV:C,N
player=1,MOV:B,N
player=0,MOV:C,W
player=1,MOV:B,S
player=0,MOV:E,W
player=1,MOV:A,S
player=0,MOV:B,W
player=1,MOV:A,N
player=0,MOV:F,W
player=1,MOV:A,N
player=0,MOV:G,N
player=1,MOV:A,S
player=0,MOV:G,N
player=1,MOV:A,N
player=0,MOV:G,W
player=1,MOV:A,N
player=0,MOV:G,N
player=1,MOV:A,E
player=0,MOV:E,E
player=1,MOV:B,N
player=0,MOV:G,N
player=1,MOV:B,N
player=0,MOV:G,N
player=1,MOV:B,N
player=0,MOV:E,W
player=1,MOV:B,E
player=0,MOV:H,N
player=1,MOV:B,N
player=0,MOV:H,N
player=1,MOV:B,S
player=0,MOV:H,E
player=1,MOV:B,N
player=0,MOV:G,S
player=1,MOV:B,S
player=0,MOV:G,N
player=1,MOV:B,N
player=0,MOV:G,S
player=1,MOV:B,S
player=0,MOV:G,N
player=1,MOV:B,N
player=0,MOV:G,S
player=1,MOV:B,S
player=0,MOV:G,N
player=1,MOV:B,N
player=0,MOV:G,S
player=1,MOV:B,S
player=0,MOV:G,N
player=1,MOV:B,N
player=0,MOV:G,S
player=1,MOV:B,S
player=0,MOV:G,N
player=1,MOV:B,N
player=0,MOV:G,S
player=1,MOV:B,S
player=0,MOV:G,N
player=1,MOV:B,N
player=0,MOV:G,S
player=1,MOV:B,S
player=0,MOV:G,N
player=1,MOV:B,N
player=0,MOV:G,S
player=1,MOV:B,S
player=0,MOV:G,N
player=1,MOV:B,N
player=0,MOV:G,S
player=1,MOV:B,S
player=0,MOV:G,N
player=1,MOV:B,N
player=0,MOV:G,S
player=1,MOV:B,S
player=0,MOV:G,N
player=1,MOV:B,N
player=0,MOV:G,S
player=1,MOV:B,S
player=0,MOV:G,N
player=1,MOV:B,N
player=0,MOV:G,S
player=1,MOV:B,S
player=0,MOV:G,N
player=1,MOV:B,N
player=0,MOV:G,S
player=1,MOV:B,S
player=0,MOV:G,N
player=1,MOV:B,N
player=0,MOV:G,S
player=1,MOV:B,S
player=0,MOV:G,N
player=1,MOV:B,N
player=0,MOV:G,S
player=1,MOV:B,S
player=0,MOV:G,N
player=1,MOV:B,N
player=0,MOV:G,S
player=1,MOV:B,S
player=0,MOV:G,N
player=1,MOV:B,N
player=0,MOV:G,S
player=1,MOV:B,S
player=0,MOV:G,N
player=1,MOV:B,N
player=0,MOV:G,S
player=1,MOV:B,S
player=0,MOV:G,N
player=1,MOV:B,N
player=0,MOV:G,S
player=1,MOV:B,S
player=0,MOV:G,N
player=1,MOV:B,N
player=0,MOV:G,S
player=1,MOV:B,S
player=0,MOV:G,N
player=1,MOV:B,N
player=0,MOV:G,S
player=1,MOV:B,S
player=0,MOV:G,N
player=1,MOV:B,N
player=0,MOV:G,S
player=1,MOV:B,S
player=0,MOV:G,N
player=1,MOV:B,N
player=0,MOV:G,S
player=1,MOV:B,S
player=0,MOV:G,N
player=1,MOV:B,N
player=0,MOV:G,S
player=1,MOV:B,S
player=0,MOV:G,N
player=1,MOV:B,N
player=0,MOV:G,S
player=1,MOV:B,S
player=0,MOV:G,N
player=1,MOV:B,N
player=0,MOV:G,S
player=1,MOV:B,S
player=0,MOV:G,N
player=1,MOV:B,N
player=0,MOV:G,S
player=1,MOV:B,S
player=0,MOV:G,N
player=1,MOV:B,N
player=0,MOV:G,S
player=1,MOV:B,S
player=0,MOV:G,N
player=1,MOV:B,N
player=0,MOV:G,S
player=1,MOV:B,S
player=0,MOV:G,N
player=1,MOV:B,N
player=0,MOV:G,S
player=1,MOV:B,S
player=0,MOV:G,N
player=1,MOV:B,N
player=0,MOV:G,S
player=1,MOV:B,S
player=0,MOV:G,N
player=1,MOV:B,N
player=0,MOV:G,S
player=1,MOV:B,S
player=0,MOV:G,N
player=1,MOV:B,N
player=0,MOV:G,S
player=1,MOV:B,S
player=0,MOV:G,N
player=1,MOV:B,N
player=0,MOV:G,S
player=1,MOV:B,S
player=0,MOV:G,N
player=1,MOV:B,N
player=0,MOV:G,S
player=1,MOV:B,S
player=0,MOV:G,N
player=1,MOV:B,N
player=0,MOV:G,S
player=1,MOV:B,S
player=0,MOV:G,N
player=1,MOV:B,N
player=0,MOV:G,S
player=1,MOV:B,S
player=0,MOV:G,N
player=1,MOV:B,N
player=0,MOV:G,S
player=1,MOV:B,S
player=0,MOV:G,N
player=1,MOV:B,N
player=0,MOV:G,S
player=1,MOV:B,S
player=0,MOV:G,N
player=1,MOV:B,N
player=0,MOV:G,S
player=1,MOV:B,S
player=0,MOV:G,N
player=1,MOV:B,N
player=0,MOV:G,S
player=1,MOV:B,S
player=0,MOV:G,N
player=1,MOV:B,N
player=0,MOV:G,S
player=1,MOV:B,S
player=0,MOV:G,N
player=1,MOV:B,N
player=0,MOV:G,S
player=1,MOV:B,S
player=0,MOV:G,N
player=1,MOV:B,N
player=0,MOV:G,S
player=1,MOV:B,S
player=0,MOV:G,N
player=1,MOV:B,N
player=0,MOV:G,S
player=1,MOV:B,S
player=0,MOV:G,N
player=1,MOV:B,N
player=0,MOV:G,S
player=1,MOV:B,S
player=0,MOV:G,N
player=1,MOV:B,N
player=0,MOV:G,S
player=1,MOV:B,S
player=0,MOV:G,N
player=1,MOV:B,N
player=0,MOV:G,S
player=1,MOV:B,S
player=0,MOV:G,N
player=1,MOV:B,N
player=0,MOV:G,S
player=1,MOV:B,S
player=0,MOV:G,N
player=1,MOV:B,N
player=0,MOV:G,S
player=1,MOV:B,S
player=0,MOV:G,N
player=1,MOV:B,N
player=0,MOV:G,S
player=1,MOV:B,S
player=0,MOV:G,N
player=1,MOV:B,N
player=0,MOV:G,S
player=1,MOV:B,S
player=0,MOV:G,N
player=1,MOV:B,N
player=0,MOV:G,S
player=1,MOV:B,S
player=0,MOV:G,N
player=1,MOV:B,N
player=0,MOV:G,S
player=1,MOV:B,S
player=0,MOV:G,N
player=1,MOV:B,N
player=0,MOV:G,S
player=1,MOV:B,S
player=0,MOV:G,N
player=1,MOV:B,N
player=0,MOV:G,S
player=1,MOV:B,S
player=0,MOV:G,N
player=1,MOV:B,N
player=0,MOV:G,S
player=1,MOV:B,S
player=0,MOV:G,N
player=1,MOV:B,N
player=0,MOV:G,S
player=1,MOV:B,S
player=0,MOV:G,N
player=1,MOV:B,N
player=0,MOV:G,S
player=1,MOV:B,S
player=0,MOV:G,N
player=1,MOV:B,N
player=0,MOV:G,S
player=1,MOV:B,S
player=0,MOV:G,N
player=1,MOV:B,N
player=0,MOV:G,S
player=1,MOV:B,S
player=0,MOV:G,N
player=1,MOV:B,N
player=0,MOV:G,S
player=1,MOV:B,S
player=0,MOV:G,N
player=1,MOV:B,N
player=0,MOV:G,S
player=1,MOV:B,S
player=0,MOV:G,N
player=1,MOV:B,N
winner=2
