player=0,SET:ABEF
player=1,SET:BCDE
player=0,MOV:A,N
player=1,MOV:A,N
player=0,MOV:A,N
player=1,MOV:A,E
player=0,MOV:A,W
player=1,MOV:A,E
player=0,MOV:B,N
player=1,MOV:A,N
player=0,MOV:F,N
player=1,MOV:A,S
player=0,MOV:F,N
player=1,MOV:A,N
player=0,MOV:A,N
player=1,MOV:A,E
player=0,MOV:E,N
player=1,MOV:A,N
player=0,MOV:G,W
player=1,MOV:A,E
player=0,MOV:G,W
player=1,MOV:A,N
player=0,MOV:G,W
player=1,MOV:B,N
player=0,MOV:A,N
player=1,MOV:B,N
player=0,MOV:A,E
player=1,MOV:B,N
player=0,MOV:A,E
player=1,MOV:F,N
player=0,MOV:D,N
player=1,MOV:B,N
player=0,MOV:D,N
player=1,MOV:C,N
player=0,MOV:A,E
player=1,MOV:F,E
player=0,MOV:A,S
player=1,MOV:F,S
player=0,MOV:A,N
player=1,MOV:F,N
player=0,MOV:A,S
player=1,MOV:F,S
player=0,MOV:A,N
player=1,MOV:F,N
player=0,MOV:A,S
player=1,MOV:F,S
player=0,MOV:A,N
player=1,MOV:F,N
player=0,MOV:A,S
player=1,MOV:F,S
player=0,MOV:A,N
player=1,MOV:F,N
player=0,MOV:A,S
player=1,MOV:F,S
player=0,MOV:A,N
player=1,MOV:F,N
player=0,MOV:A,S
player=1,MOV:F,S
player=0,MOV:A,N
player=1,MOV:F,N
player=0,MOV:A,S
player=1,MOV:F,S
player=0,MOV:A,N
player=1,MOV:F,N
player=0,MOV:A,S
player=1,MOV:F,S
player=0,MOV:A,N
player=1,MOV:F,N
player=0,MOV:A,S
player=1,MOV:F,S
player=0,MOV:A,N
player=1,MOV:F,N
player=0,MOV:A,S
player=1,MOV:F,S
player=0,MOV:A,N
player=1,MOV:F,N
player=0,MOV:A,S
player=1,MOV:F,S
player=0,MOV:A,N
player=1,MOV:F,N
player=0,MOV:A,S
player=1,MOV:F,S
player=0,MOV:A,N
player=1,MOV:F,N
player=0,MOV:A,S
player=1,MOV:F,S
player=0,MOV:A,N
player=1,MOV:F,N
player=0,MOV:A,S
player=1,MOV:F,S
player=0,MOV:A,N
player=1,MOV:F,N
player=0,MOV:A,S
player=1,MOV:F,S
player=0,MOV:A,N
player=1,MOV:F,N
player=0,MOV:A,S
player=1,MOV:F,S
player=0,MOV:A,N
player=1,MOV:F,N
player=0,MOV:A,S
player=1,MOV:F,S
player=0,MOV:A,N
player=1,MOV:F,N
player=0,MOV:A,S
player=1,MOV:F,S
player=0,MOV:A,N
player=1,MOV:F,N
player=0,MOV:A,S
player=1,MOV:F,S
player=0,MOV:A,N
player=1,MOV:F,N
player=0,MOV:A,S
player=1,MOV:F,S
player=0,MOV:A,N
player=1,MOV:F,N
player=0,MOV:A,S
player=1,MOV:F,S
player=0,MOV:A,N
player=1,MOV:F,N
player=0,MOV:A,S
player=1,MOV:F,S
player=0,MOV:A,N
player=1,MOV:F,N
player=0,MOV:A,S
player=1,MOV:F,S
player=0,MOV:A,N
player=1,MOV:F,N
player=0,MOV:A,S
player=1,MOV:F,S
player=0,MOV:A,N
player=1,MOV:F,N
player=0,MOV:A,S
player=1,MOV:F,S
player=0,MOV:A,N
player=1,MOV:F,N
player=0,MOV:A,S
player=1,MOV:F,S
player=0,MOV:A,N
player=1,MOV:F,N
player=0,MOV:A,S
player=1,MOV:F,S
player=0,MOV:A,N
player=1,MOV:F,N
player=0,MOV:A,S
player=1,MOV:F,S
player=0,MOV:A,N
player=1,MOV:F,N
player=0,MOV:A,S
player=1,MOV:F,S
player=0,MOV:A,N
player=1,MOV:F,N
player=0,MOV:A,S
player=1,MOV:F,S
player=0,MOV:A,N
player=1,MOV:F,N
player=0,MOV:A,S
player=1,MOV:F,S
player=0,MOV:A,N
player=1,MOV:F,N
player=0,MOV:A,S
player=1,MOV:F,S
player=0,MOV:A,N
player=1,MOV:F,N
player=0,MOV:A,S
player=1,MOV:F,S
player=0,MOV:A,N
player=1,MOV:F,N
player=0,MOV:A,S
player=1,MOV:F,S
player=0,MOV:A,N
player=1,MOV:F,N
player=0,MOV:A,S
player=1,MOV:F,S
player=0,MOV:A,N
player=1,MOV:F,N
player=0,MOV:A,S
player=1,MOV:F,S
player=0,MOV:A,N
player=1,MOV:F,N
player=0,MOV:A,S
player=1,MOV:F,S
player=0,MOV:A,N
player=1,MOV:F,N
player=0,MOV:A,S
player=1,MOV:F,S
player=0,MOV:A,N
player=1,MOV:F,N
player=0,MOV:A,S
player=1,MOV:F,S
player=0,MOV:A,N
player=1,MOV:F,N
player=0,MOV:A,S
player=1,MOV:F,S
player=0,MOV:A,N
player=1,MOV:F,N
player=0,MOV:A,S
player=1,MOV:F,S
player=0,MOV:A,N
player=1,MOV:F,N
player=0,MOV:A,S
player=1,MOV:F,S
player=0,MOV:A,N
player=1,MOV:F,N
player=0,MOV:A,S
player=1,MOV:F,S
player=0,MOV:A,N
player=1,MOV:F,N
player=0,MOV:A,S
player=1,MOV:F,S
player=0,MOV:A,N
player=1,MOV:F,N
player=0,MOV:A,S
player=1,MOV:F,S
player=0,MOV:A,N
player=1,MOV:F,N
player=0,MOV:A,S
player=1,MOV:F,S
player=0,MOV:A,N
player=1,MOV:F,N
player=0,MOV:A,S
player=1,MOV:F,S
player=0,MOV:A,N
player=1,MOV:F,N
player=0,MOV:A,S
player=1,MOV:F,S
player=0,MOV:A,N
player=1,MOV:F,N
player=0,MOV:A,S
player=1,MOV:F,S
player=0,MOV:A,N
player=1,MOV:F,N
player=0,MOV:A,S
player=1,MOV:F,S
player=0,MOV:A,N
player=1,MOV:F,N
player=0,MOV:A,S
player=1,MOV:F,S
player=0,MOV:A,N
player=1,MOV:F,N
player=0,MOV:A,S
player=1,MOV:F,S
player=0,MOV:A,N
player=1,MOV:F,N
player=0,MOV:A,S
player=1,MOV:F,S
player=0,MOV:A,N
player=1,MOV:F,N
player=0,MOV:A,S
player=1,MOV:F,S
player=0,MOV:A,N
player=1,MOV:F,N
player=0,MOV:A,S
player=1,MOV:F,S
player=0,MOV:A,N
player=1,MOV:F,N
player=0,MOV:A,S
player=1,MOV:F,S
player=0,MOV:A,N
player=1,MOV:F,N
player=0,MOV:A,S
player=1,MOV:F,S
player=0,MOV:A,N
player=1,MOV:F,N
player=0,MOV:A,S
player=1,MOV:F,S
player=0,MOV:A,N
player=1,MOV:F,N
player=0,MOV:A,S
player=1,MOV:F,S
player=0,MOV:A,N
player=1,MOV:F,N
player=0,MOV:A,S
player=1,MOV:F,S
player=0,MOV:A,N
player=1,MOV:F,N
player=0,MOV:A,S
player=1,MOV:F,S
player=0,MOV:A,N
player=1,MOV:F,N
player=0,MOV:A,S
player=1,MOV:F,S
player=0,MOV:A,N
player=1,MOV:F,N
player=0,MOV:A,S
player=1,MOV:F,S
player=0,MOV:A,N
player=1,MOV:F,N
player=0,MOV:A,S
player=1,MOV:F,S
player=0,MOV:A,N
player=1,MOV:F,N
player=0,MOV:A,S
player=1,MOV:F,S
player=0,MOV:A,N
player=1,MOV:F,N
player=0,MOV:A,S
player=1,MOV:F,S
player=0,MOV:A,N
player=1,MOV:F,N
player=0,MOV:A,S
player=1,MOV:F,S
winner=2
