player=0,SET:ABEG
player=1,SET:ACEH
player=0,MOV:A,N
player=1,MOV:A,N
player=0,MOV:A,N
player=1,MOV:D,E
player=0,MOV:A,N
player=1,MOV:D,N
player=0,MOV:A,N
player=1,MOV:G,E
player=0,MOV:B,N
player=1,MOV:A,N
player=0,MOV:D,N
player=1,MOV:D,S
player=0,MOV:B,N
player=1,MOV:B,W
player=0,MOV:B,N
player=1,MOV:B,W
player=0,MOV:B,N
player=1,MOV:F,E
player=0,MOV:D,N
player=1,MOV:D,N
player=0,MOV:D,S
player=1,MOV:D,N
player=0,MOV:D,N
player=1,MOV:D,N
player=0,MOV:C,N
player=1,MOV:E,W
player=0,MOV:D,S
player=1,MOV:F,N
player=0,MOV:C,N
player=1,MOV:F,E
player=0,MOV:C,S
player=1,MOV:F,N
player=0,MOV:C,N
player=1,MOV:F,E
player=0,MOV:C,N
player=1,MOV:F,N
player=0,MOV:C,S
player=1,MOV:F,S
player=0,MOV:C,N
player=1,MOV:F,N
player=0,MOV:C,S
player=1,MOV:F,S
player=0,MOV:C,N
player=1,MOV:F,N
player=0,MOV:C,S
player=1,MOV:F,S
player=0,MOV:C,N
player=1,MOV:F,N
player=0,MOV:C,S
player=1,MOV:F,S
player=0,MOV:C,N
player=1,MOV:F,N
player=0,MOV:C,S
player=1,MOV:F,S
player=0,MOV:C,N
player=1,MOV:F,N
player=0,MOV:C,S
player=1,MOV:F,S
player=0,MOV:C,N
player=1,MOV:F,N
player=0,MOV:C,S
player=1,MOV:F,S
player=0,MOV:C,N
player=1,MOV:F,N
player=0,MOV:C,S
player=1,MOV:F,S
player=0,MOV:C,N
player=1,MOV:F,N
player=0,MOV:C,S
player=1,MOV:F,S
player=0,MOV:C,N
player=1,MOV:F,N
player=0,MOV:C,S
player=1,MOV:F,S
player=0,MOV:C,N
player=1,MOV:F,N
player=0,MOV:C,S
player=1,MOV:F,S
player=0,MOV:C,N
player=1,MOV:F,N
player=0,MOV:C,S
player=1,MOV:F,S
player=0,MOV:C,N
player=1,MOV:F,N
player=0,MOV:C,S
player=1,MOV:F,S
player=0,MOV:C,N
player=1,MOV:F,N
player=0,MOV:C,S
player=1,MOV:F,S
player=0,MOV:C,N
player=1,MOV:F,N
player=0,MOV:C,S
player=1,MOV:F,S
player=0,MOV:C,N
player=1,MOV:F,N
player=0,MOV:C,S
player=1,MOV:F,S
player=0,MOV:C,N
player=1,MOV:F,N
player=0,MOV:C,S
player=1,MOV:F,S
player=0,MOV:C,N
player=1,MOV:F,N
player=0,MOV:C,S
player=1,MOV:F,S
player=0,MOV:C,N
player=1,MOV:F,N
player=0,MOV:C,S
player=1,MOV:F,S
player=0,MOV:C,N
player=1,MOV:F,N
player=0,MOV:C,S
player=1,MOV:F,S
player=0,MOV:C,N
player=1,MOV:F,N
player=0,MOV:C,S
player=1,MOV:F,S
player=0,MOV:C,N
player=1,MOV:F,N
player=0,MOV:C,S
player=1,MOV:F,S
player=0,MOV:C,N
player=1,MOV:F,N
player=0,MOV:C,S
player=1,MOV:F,S
player=0,MOV:C,N
player=1,MOV:F,N
player=0,MOV:C,S
player=1,MOV:F,S
player=0,MOV:C,N
player=1,MOV:F,N
player=0,MOV:C,S
player=1,MOV:F,S
player=0,MOV:C,N
player=1,MOV:F,N
player=0,MOV:C,S
player=1,MOV:F,S
player=0,MOV:C,N
player=1,MOV:F,N
player=0,MOV:C,S
player=1,MOV:F,S
player=0,MOV:C,N
player=1,MOV:F,N
player=0,MOV:C,S
player=1,MOV:F,S
player=0,MOV:C,N
player=1,MOV:F,N
player=0,MOV:C,S
player=1,MOV:F,S
player=0,MOV:C,N
player=1,MOV:F,N
player=0,MOV:C,S
player=1,MOV:F,S
player=0,MOV:C,N
player=1,MOV:F,N
player=0,MOV:C,S
player=1,MOV:F,S
player=0,MOV:C,N
player=1,MOV:F,N
player=0,MOV:C,S
player=1,MOV:F,S
player=0,MOV:C,N
player=1,MOV:F,N
player=0,MOV:C,S
player=1,MOV:F,S
player=0,MOV:C,N
player=1,MOV:F,N
player=0,MOV:C,S
player=1,MOV:F,S
player=0,MOV:C,N
player=1,MOV:F,N
player=0,MOV:C,S
player=1,MOV:F,S
player=0,MOV:C,N
player=1,MOV:F,N
player=0,MOV:C,S
player=1,MOV:F,S
player=0,MOV:C,N
player=1,MOV:F,N
player=0,MOV:C,S
player=1,MOV:F,S
player=0,MOV:C,N
player=1,MOV:F,N
player=0,MOV:C,S
player=1,MOV:F,S
player=0,MOV:C,N
player=1,MOV:F,N
player=0,MOV:C,S
player=1,MOV:F,S
player=0,MOV:C,N
player=1,MOV:F,N
player=0,MOV:C,S
player=1,MOV:F,S
player=0,MOV:C,N
player=1,MOV:F,N
player=0,MOV:C,S
player=1,MOV:F,S
player=0,MOV:C,N
player=1,MOV:F,N
player=0,MOV:C,S
player=1,MOV:F,S
player=0,MOV:C,N
player=1,MOV:F,N
player=0,MOV:C,S
player=1,MOV:F,S
player=0,MOV:C,N
player=1,MOV:F,N
player=0,MOV:C,S
player=1,MOV:F,S
player=0,MOV:C,N
player=1,MOV:F,N
player=0,MOV:C,S
player=1,MOV:F,S
player=0,MOV:C,N
player=1,MOV:F,N
player=0,MOV:C,S
player=1,MOV:F,S
player=0,MOV:C,N
player=1,MOV:F,N
player=0,MOV:C,S
player=1,MOV:F,S
player=0,MOV:C,N
player=1,MOV:F,N
player=0,MOV:C,S
player=1,MOV:F,S
player=0,MOV:C,N
player=1,MOV:F,N
player=0,MOV:C,S
player=1,MOV:F,S
player=0,MOV:C,N
player=1,MOV:F,N
player=0,MOV:C,S
player=1,MOV:F,S
player=0,MOV:C,N
player=1,MOV:F,N
player=0,MOV:C,S
player=1,MOV:F,S
player=0,MOV:C,N
player=1,MOV:F,N
player=0,MOV:C,S
player=1,MOV:F,S
player=0,MOV:C,N
player=1,MOV:F,N
player=0,MOV:C,S
player=1,MOV:F,S
player=0,MOV:C,N
player=1,MOV:F,N
player=0,MOV:C,S
player=1,MOV:F,S
player=0,MOV:C,N
player=1,MOV:F,N
player=0,MOV:C,S
player=1,MOV:F,S
player=0,MOV:C,N
player=1,MOV:F,N
player=0,MOV:C,S
player=1,MOV:F,S
player=0,MOV:C,N
player=1,MOV:F,N
player=0,MOV:C,S
player=1,MOV:F,S
player=0,MOV:C,N
player=1,MOV:F,N
player=0,MOV:C,S
player=1,MOV:F,S
player=0,MOV:C,N
player=1,MOV:F,N
player=0,MOV:C,S
player=1,MOV:F,S
player=0,MOV:C,N
player=1,MOV:F,N
player=0,MOV:C,S
player=1,MOV:F,S
player=0,MOV:C,N
player=1,MOV:F,N
player=0,MOV:C,S
player=1,MOV:F,S
player=0,MOV:C,N
player=1,MOV:F,N
player=0,MOV:C,S
player=1,MOV:F,S
player=0,MOV:C,N
player=1,MOV:F,N
player=0,MOV:C,S
player=1,MOV:F,S
player=0,MOV:C,N
player=1,MOV:F,N
player=0,MOV:C,S
player=1,MOV:F,S
player=0,MOV:C,N
player=1,MOV:F,N
player=0,MOV:C,S
player=1,MOV:F,S
player=0,MOV:C,N
player=1,MOV:F,N
player=0,MOV:C,S
player=1,MOV:F,S
player=0,MOV:C,N
player=1,MOV:F,N
winner=2
