player=1,SET:ABEH
player=0,SET:ACEG
player=0,MOV:A,N
player=1,MOV:A,N
player=0,MOV:A,N
player=1,MOV:A,N
player=0,MOV:A,N
player=1,MOV:A,W
player=0,MOV:A,E
player=1,MOV:A,N
player=0,MOV:A,N
player=1,MOV:F,E
player=0,MOV:D,N
player=1,MOV:A,N
player=0,MOV:H,N
player=1,MOV:B,N
player=0,MOV:D,E
player=1,MOV:B,N
player=0,MOV:D,N
player=1,MOV:B,W
player=0,MOV:H,N
player=1,MOV:F,N
player=0,MOV:D,N
player=1,MOV:F,N
player=0,MOV:D,S
player=1,MOV:F,E
player=0,MOV:D,N
player=1,MOV:F,E
player=0,MOV:D,S
player=1,MOV:H,N
player=0,MOV:D,N
player=1,MOV:H,N
player=0,MOV:D,S
player=1,MOV:H,N
player=0,MOV:D,N
player=1,MOV:H,N
player=0,MOV:B,N
player=1,MOV:H,E
player=0,MOV:D,S
player=1,MOV:H,N
player=0,MOV:D,N
player=1,MOV:A,E
player=0,MOV:D,S
player=1,MOV:A,W
player=0,MOV:D,N
player=1,MOV:A,E
player=0,MOV:D,S
player=1,MOV:A,W
player=0,MOV:D,N
player=1,MOV:A,E
player=0,MOV:D,S
player=1,MOV:A,W
player=0,MOV:D,N
player=1,MOV:A,E
player=0,MOV:D,S
player=1,MOV:A,W
player=0,MOV:D,N
player=1,MOV:A,E
player=0,MOV:D,S
player=1,MOV:A,W
player=0,MOV:D,N
player=1,MOV:A,E
player=0,MOV:D,S
player=1,MOV:A,W
player=0,MOV:D,N
player=1,MOV:A,E
player=0,MOV:D,S
player=1,MOV:A,W
player=0,MOV:D,N
player=1,MOV:A,E
player=0,MOV:D,S
player=1,MOV:A,W
player=0,MOV:D,N
player=1,MOV:A,E
player=0,MOV:D,S
player=1,MOV:A,W
player=0,MOV:D,N
player=1,MOV:A,E
player=0,MOV:D,S
player=1,MOV:A,W
player=0,MOV:D,N
player=1,MOV:A,E
player=0,MOV:D,S
player=1,MOV:A,W
player=0,MOV:D,N
player=1,MOV:A,E
player=0,MOV:D,S
player=1,MOV:A,W
player=0,MOV:D,N
player=1,MOV:A,E
player=0,MOV:D,S
player=1,MOV:A,W
player=0,MOV:D,N
player=1,MOV:A,E
player=0,MOV:D,S
player=1,MOV:A,W
player=0,MOV:D,N
player=1,MOV:A,E
player=0,MOV:D,S
player=1,MOV:A,W
player=0,MOV:D,N
player=1,MOV:A,E
player=0,MOV:D,S
player=1,MOV:A,W
player=0,MOV:D,N
player=1,MOV:A,E
player=0,MOV:D,S
player=1,MOV:A,W
player=0,MOV:D,N
player=1,MOV:A,E
player=0,MOV:D,S
player=1,MOV:A,W
player=0,MOV:D,N
player=1,MOV:A,E
player=0,MOV:D,S
player=1,MOV:A,W
player=0,MOV:D,N
player=1,MOV:A,E
player=0,MOV:D,S
player=1,MOV:A,W
player=0,MOV:D,N
player=1,MOV:A,E
player=0,MOV:D,S
player=1,MOV:A,W
player=0,MOV:D,N
player=1,MOV:A,E
player=0,MOV:D,S
player=1,MOV:A,W
player=0,MOV:D,N
player=1,MOV:A,E
player=0,MOV:D,S
player=1,MOV:A,W
player=0,MOV:D,N
player=1,MOV:A,E
player=0,MOV:D,S
player=1,MOV:A,W
player=0,MOV:D,N
player=1,MOV:A,E
player=0,MOV:D,S
player=1,MOV:A,W
player=0,MOV:D,N
player=1,MOV:A,E
player=0,MOV:D,S
player=1,MOV:A,W
player=0,MOV:D,N
player=1,MOV:A,E
player=0,MOV:D,S
player=1,MOV:A,W
player=0,MOV:D,N
player=1,MOV:A,E
player=0,MOV:D,S
player=1,MOV:A,W
player=0,MOV:D,N
player=1,MOV:A,E
player=0,MOV:D,S
player=1,MOV:A,W
player=0,MOV:D,N
player=1,MOV:A,E
player=0,MOV:D,S
player=1,MOV:A,W
player=0,MOV:D,N
player=1,MOV:A,E
player=0,MOV:D,S
player=1,MOV:A,W
player=0,MOV:D,N
player=1,MOV:A,E
player=0,MOV:D,S
player=1,MOV:A,W
player=0,MOV:D,N
player=1,MOV:A,E
player=0,MOV:D,S
player=1,MOV:A,W
player=0,MOV:D,N
player=1,MOV:A,E
player=0,MOV:D,S
player=1,MOV:A,W
player=0,MOV:D,N
player=1,MOV:A,E
player=0,MOV:D,S
player=1,MOV:A,W
player=0,MOV:D,N
player=1,MOV:A,E
player=0,MOV:D,S
player=1,MOV:A,W
player=0,MOV:D,N
player=1,MOV:A,E
player=0,MOV:D,S
player=1,MOV:A,W
player=0,MOV:D,N
player=1,MOV:A,E
player=0,MOV:D,S
player=1,MOV:A,W
player=0,MOV:D,N
player=1,MOV:A,E
player=0,MOV:D,S
player=1,MOV:A,W
player=0,MOV:D,N
player=1,MOV:A,E
player=0,MOV:D,S
player=1,MOV:A,W
player=0,MOV:D,N
player=1,MOV:A,E
player=0,MOV:D,S
player=1,MOV:A,W
player=0,MOV:D,N
player=1,MOV:A,E
player=0,MOV:D,S
player=1,MOV:A,W
player=0,MOV:D,N
player=1,MOV:A,E
player=0,MOV:D,S
player=1,MOV:A,W
player=0,MOV:D,N
player=1,MOV:A,E
player=0,MOV:D,S
player=1,MOV:A,W
player=0,MOV:D,N
player=1,MOV:A,E
player=0,MOV:D,S
player=1,MOV:A,W
player=0,MOV:D,N
player=1,MOV:A,E
player=0,MOV:D,S
player=1,MOV:A,W
player=0,MOV:D,N
player=1,MOV:A,E
player=0,MOV:D,S
player=1,MOV:A,W
player=0,MOV:D,N
player=1,MOV:A,E
player=0,MOV:D,S
player=1,MOV:A,W
player=0,MOV:D,N
player=1,MOV:A,E
player=0,MOV:D,S
player=1,MOV:A,W
player=0,MOV:D,N
player=1,MOV:A,E
player=0,MOV:D,S
player=1,MOV:A,W
player=0,MOV:D,N
player=1,MOV:A,E
player=0,MOV:D,S
player=1,MOV:A,W
player=0,MOV:D,N
player=1,MOV:A,E
player=0,MOV:D,S
player=1,MOV:A,W
player=0,MOV:D,N
player=1,MOV:A,E
player=0,MOV:D,S
player=1,MOV:A,W
player=0,MOV:D,N
player=1,MOV:A,E
player=0,MOV:D,S
player=1,MOV:A,W
player=0,MOV:D,N
player=1,MOV:A,E
player=0,MOV:D,S
player=1,MOV:A,W
player=0,MOV:D,N
player=1,MOV:A,E
player=0,MOV:D,S
player=1,MOV:A,W
player=0,MOV:D,N
player=1,MOV:A,E
player=0,MOV:D,S
player=1,MOV:A,W
player=0,MOV:D,N
player=1,MOV:A,E
player=0,MOV:D,S
player=1,MOV:A,W
player=0,MOV:D,N
player=1,MOV:A,E
player=0,MOV:D,S
player=1,MOV:A,W
player=0,MOV:D,N
player=1,MOV:A,E
player=0,MOV:D,S
player=1,MOV:A,W
player=0,MOV:D,N
player=1,MOV:A,E
player=0,MOV:D,S
player=1,MOV:A,W
player=0,MOV:D,N
player=1,MOV:A,E
player=0,MOV:D,S
player=1,MOV:A,W
player=0,MOV:D,N
player=1,MOV:A,E
player=0,MOV:D,S
player=1,MOV:A,W
player=0,MOV:D,N
player=1,MOV:A,E
player=0,MOV:D,S
player=1,MOV:A,W
player=0,MOV:D,N
player=1,MOV:A,E
player=0,MOV:D,S
player=1,MOV:A,W
player=0,MOV:D,N
player=1,MOV:A,E
winner=2
