player=0,SET:ADFH
player=1,SET:CEFH
player=0,MOV:A,N
player=1,MOV:A,N
player=0,MOV:A,N
player=1,MOV:A,N
player=0,MOV:A,N
player=1,MOV:A,W
player=0,MOV:A,N
player=1,MOV:A,N
player=0,MOV:A,E
player=1,MOV:B,N
player=0,MOV:D,E
player=1,MOV:B,W
player=0,MOV:A,E
player=1,MOV:C,N
player=0,MOV:A,E
player=1,MOV:C,N
player=0,MOV:A,S
player=1,MOV:B,E
player=0,MOV:A,S
player=1,MOV:B,E
player=0,MOV:A,W
player=1,MOV:B,E
player=0,MOV:A,W
player=1,MOV:B,E
player=0,MOV:A,W
player=1,MOV:B,S
player=0,MOV:A,N
player=1,MOV:B,N
player=0,MOV:A,S
player=1,MOV:B,S
player=0,MOV:A,N
player=1,MOV:B,N
player=0,MOV:A,S
player=1,MOV:B,S
player=0,MOV:A,N
player=1,MOV:B,N
player=0,MOV:A,S
player=1,MOV:B,S
player=0,MOV:A,N
player=1,MOV:B,N
player=0,MOV:A,S
player=1,MOV:B,S
player=0,MOV:A,N
player=1,MOV:B,N
player=0,MOV:A,S
player=1,MOV:B,S
player=0,MOV:A,N
player=1,MOV:B,N
player=0,MOV:A,S
player=1,MOV:B,S
player=0,MOV:A,N
player=1,MOV:B,N
player=0,MOV:A,S
player=1,MOV:B,S
player=0,MOV:A,N
player=1,MOV:B,N
player=0,MOV:A,S
player=1,MOV:B,S
player=0,MOV:A,N
player=1,MOV:B,N
player=0,MOV:A,S
player=1,MOV:B,S
player=0,MOV:A,N
player=1,MOV:B,N
player=0,MOV:A,S
player=1,MOV:B,S
player=0,MOV:A,N
player=1,MOV:B,N
player=0,MOV:A,S
player=1,MOV:B,S
player=0,MOV:A,N
player=1,MOV:B,N
player=0,MOV:A,S
player=1,MOV:B,S
player=0,MOV:A,N
player=1,MOV:B,N
player=0,MOV:A,S
player=1,MOV:B,S
player=0,MOV:A,N
player=1,MOV:B,N
player=0,MOV:A,S
player=1,MOV:B,S
player=0,MOV:A,N
player=1,MOV:B,N
player=0,MOV:A,S
player=1,MOV:B,S
player=0,MOV:A,N
player=1,MOV:B,N
player=0,MOV:A,S
player=1,MOV:B,S
player=0,MOV:A,N
player=1,MOV:B,N
player=0,MOV:A,S
player=1,MOV:B,S
player=0,MOV:A,N
player=1,MOV:B,N
player=0,MOV:A,S
player=1,MOV:B,S
player=0,MOV:A,N
player=1,MOV:B,N
player=0,MOV:A,S
player=1,MOV:B,S
player=0,MOV:A,N
player=1,MOV:B,N
player=0,MOV:A,S
player=1,MOV:B,S
player=0,MOV:A,N
player=1,MOV:B,N
player=0,MOV:A,S
player=1,MOV:B,S
player=0,MOV:A,N
player=1,MOV:B,N
player=0,MOV:A,S
player=1,MOV:B,S
player=0,MOV:A,N
player=1,MOV:B,N
player=0,MOV:A,S
player=1,MOV:B,S
player=0,MOV:A,N
player=1,MOV:B,N
player=0,MOV:A,S
player=1,MOV:B,S
player=0,MOV:A,N
player=1,MOV:B,N
player=0,MOV:A,S
player=1,MOV:B,S
player=0,MOV:A,N
player=1,MOV:B,N
player=0,MOV:A,S
player=1,MOV:B,S
player=0,MOV:A,N
player=1,MOV:B,N
player=0,MOV:A,S
player=1,MOV:B,S
player=0,MOV:A,N
player=1,MOV:B,N
player=0,MOV:A,S
player=1,MOV:B,S
player=0,MOV:A,N
player=1,MOV:B,N
player=0,MOV:A,S
player=1,MOV:B,S
player=0,MOV:A,N
player=1,MOV:B,N
player=0,MOV:A,S
player=1,MOV:B,S
player=0,MOV:A,N
player=1,MOV:B,N
player=0,MOV:A,S
player=1,MOV:B,S
player=0,MOV:A,N
player=1,MOV:B,N
player=0,MOV:A,S
player=1,MOV:B,S
player=0,MOV:A,N
player=1,MOV:B,N
player=0,MOV:A,S
player=1,MOV:B,S
player=0,MOV:A,N
player=1,MOV:B,N
player=0,MOV:A,S
player=1,MOV:B,S
player=0,MOV:A,N
player=1,MOV:B,N
player=0,MOV:A,S
player=1,MOV:B,S
player=0,MOV:A,N
player=1,MOV:B,N
player=0,MOV:A,S
player=1,MOV:B,S
player=0,MOV:A,N
player=1,MOV:B,N
player=0,MOV:A,S
player=1,MOV:B,S
player=0,MOV:A,N
player=1,MOV:B,N
player=0,MOV:A,S
player=1,MOV:B,S
player=0,MOV:A,N
player=1,MOV:B,N
player=0,MOV:A,S
player=1,MOV:B,S
player=0,MOV:A,N
player=1,MOV:B,N
player=0,MOV:A,S
player=1,MOV:B,S
player=0,MOV:A,N
player=1,MOV:B,N
player=0,MOV:A,S
player=1,MOV:B,S
player=0,MOV:A,N
player=1,MOV:B,N
player=0,MOV:A,S
player=1,MOV:B,S
player=0,MOV:A,N
player=1,MOV:B,N
player=0,MOV:A,S
player=1,MOV:B,S
player=0,MOV:A,N
player=1,MOV:B,N
player=0,MOV:A,S
player=1,MOV:B,S
player=0,MOV:A,N
player=1,MOV:B,N
player=0,MOV:A,S
player=1,MOV:B,S
player=0,MOV:A,N
player=1,MOV:B,N
player=0,MOV:A,S
player=1,MOV:B,S
player=0,MOV:A,N
player=1,MOV:B,N
player=0,MOV:A,S
player=1,MOV:B,S
player=0,MOV:A,N
player=1,MOV:B,N
player=0,MOV:A,S
player=1,MOV:B,S
player=0,MOV:A,N
player=1,MOV:B,N
player=0,MOV:A,S
player=1,MOV:B,S
player=0,MOV:A,N
player=1,MOV:B,N
player=0,MOV:A,S
player=1,MOV:B,S
player=0,MOV:A,N
player=1,MOV:B,N
player=0,MOV:A,S
player=1,MOV:B,S
player=0,MOV:A,N
player=1,MOV:B,N
player=0,MOV:A,S
player=1,MOV:B,S
player=0,MOV:A,N
player=1,MOV:B,N
player=0,MOV:A,S
player=1,MOV:B,S
player=0,MOV:A,N
player=1,MOV:B,N
player=0,MOV:A,S
player=1,MOV:B,S
player=0,MOV:A,N
player=1,MOV:B,N
player=0,MOV:A,S
player=1,MOV:B,S
player=0,MOV:A,N
player=1,MOV:B,N
player=0,MOV:A,S
player=1,MOV:B,S
player=0,MOV:A,N
player=1,MOV:B,N
player=0,MOV:A,S
player=1,MOV:B,S
player=0,MOV:A,N
player=1,MOV:B,N
player=0,MOV:A,S
player=1,MOV:B,S
player=0,MOV:A,N
player=1,MOV:B,N
player=0,MOV:A,S
player=1,MOV:B,S
player=0,MOV:A,N
player=1,MOV:B,N
player=0,MOV:A,S
player=1,MOV:B,S
player=0,MOV:A,N
player=1,MOV:B,N
player=0,MOV:A,S
player=1,MOV:B,S
player=0,MOV:A,N
player=1,MOV:B,N
player=0,MOV:A,S
player=1,MOV:B,S
player=0,MOV:A,N
player=1,MOV:B,N
player=0,MOV:A,S
player=1,MOV:B,S
player=0,MOV:A,N
player=1,MOV:B,N
player=0,MOV:A,S
player=1,MOV:B,S
player=0,MOV:A,N
player=1,MOV:B,N
player=0,MOV:A,S
player=1,MOV:B,S
player=0,MOV:A,N
player=1,MOV:B,N
player=0,MOV:A,S
player=1,MOV:B,S
player=0,MOV:A,N
player=1,MOV:B,N
player=0,MOV:A,S
player=1,MOV:B,S
player=0,MOV:A,N
player=1,MOV:B,N
player=0,MOV:A,S
player=1,MOV:B,S
player=0,MOV:A,N
player=1,MOV:B,N
winner=2
