player=1,SET:BCEF
player=0,SET:ABGH
player=0,MOV:A,N
player=1,MOV:A,N
player=0,MOV:A,N
player=1,MOV:D,E
player=0,MOV:A,N
player=1,MOV:C,E
player=0,MOV:B,N
player=1,MOV:A,S
player=0,MOV:B,N
player=1,MOV:A,N
player=0,MOV:B,N
player=1,MOV:G,N
player=0,MOV:D,E
player=1,MOV:B,N
player=0,MOV:E,N
player=1,MOV:B,N
player=0,MOV:C,W
player=1,MOV:B,N
player=0,MOV:C,N
player=1,MOV:G,W
player=0,MOV:C,N
player=1,MOV:G,W
player=0,MOV:E,W
player=1,MOV:B,W
player=0,MOV:H,N
player=1,MOV:C,N
player=0,MOV:C,S
player=1,MOV:C,N
player=0,MOV:C,N
player=1,MOV:C,N
player=0,MOV:E,N
player=1,MOV:C,N
player=0,MOV:F,W
player=1,MOV:E,W
player=0,MOV:C,N
player=1,MOV:A,W
player=0,MOV:H,N
player=1,MOV:A,S
player=0,MOV:H,N
player=1,MOV:G,E
player=0,MOV:C,S
player=1,MOV:F,E
player=0,MOV:H,N
player=1,MOV:A,N
player=0,MOV:H,N
player=1,MOV:A,S
player=0,MOV:H,S
player=1,MOV:A,N
player=0,MOV:H,N
player=1,MOV:A,S
player=0,MOV:H,S
player=1,MOV:A,N
player=0,MOV:H,N
player=1,MOV:A,S
player=0,MOV:H,S
player=1,MOV:A,N
player=0,MOV:H,N
player=1,MOV:A,S
player=0,MOV:H,S
player=1,MOV:A,N
player=0,MOV:H,N
player=1,MOV:A,S
player=0,MOV:H,S
player=1,MOV:A,N
player=0,MOV:H,N
player=1,MOV:A,S
player=0,MOV:H,S
player=1,MOV:A,N
player=0,MOV:H,N
player=1,MOV:A,S
player=0,MOV:H,S
player=1,MOV:A,N
player=0,MOV:H,N
player=1,MOV:A,S
player=0,MOV:H,S
player=1,MOV:A,N
player=0,MOV:H,N
player=1,MOV:A,S
player=0,MOV:H,S
player=1,MOV:A,N
player=0,MOV:H,N
player=1,MOV:A,S
player=0,MOV:H,S
player=1,MOV:A,N
player=0,MOV:H,N
player=1,MOV:A,S
player=0,MOV:H,S
player=1,MOV:A,N
player=0,MOV:H,N
player=1,MOV:A,S
player=0,MOV:H,S
player=1,MOV:A,N
player=0,MOV:H,N
player=1,MOV:A,S
player=0,MOV:H,S
player=1,MOV:A,N
player=0,MOV:H,N
player=1,MOV:A,S
player=0,MOV:H,S
player=1,MOV:A,N
player=0,MOV:H,N
player=1,MOV:A,S
player=0,MOV:H,S
player=1,MOV:A,N
player=0,MOV:H,N
player=1,MOV:A,S
player=0,MOV:H,S
player=1,MOV:A,N
player=0,MOV:H,N
player=1,MOV:A,S
player=0,MOV:H,S
player=1,MOV:A,N
player=0,MOV:H,N
player=1,MOV:A,S
player=0,MOV:H,S
player=1,MOV:A,N
player=0,MOV:H,N
player=1,MOV:A,S
player=0,MOV:H,S
player=1,MOV:A,N
player=0,MOV:H,N
player=1,MOV:A,S
player=0,MOV:H,S
player=1,MOV:A,N
player=0,MOV:H,N
player=1,MOV:A,S
player=0,MOV:H,S
player=1,MOV:A,N
player=0,MOV:H,N
player=1,MOV:A,S
player=0,MOV:H,S
player=1,MOV:A,N
player=0,MOV:H,N
player=1,MOV:A,S
player=0,MOV:H,S
player=1,MOV:A,N
player=0,MOV:H,N
player=1,MOV:A,S
player=0,MOV:H,S
player=1,MOV:A,N
player=0,MOV:H,N
player=1,MOV:A,S
player=0,MOV:H,S
player=1,MOV:A,N
player=0,MOV:H,N
player=1,MOV:A,S
player=0,MOV:H,S
player=1,MOV:A,N
player=0,MOV:H,N
player=1,MOV:A,S
player=0,MOV:H,S
player=1,MOV:A,N
player=0,MOV:H,N
player=1,MOV:A,S
player=0,MOV:H,S
player=1,MOV:A,N
player=0,MOV:H,N
player=1,MOV:A,S
player=0,MOV:H,S
player=1,MOV:A,N
player=0,MOV:H,N
player=1,MOV:A,S
player=0,MOV:H,S
player=1,MOV:A,N
player=0,MOV:H,N
player=1,MOV:A,S
player=0,MOV:H,S
player=1,MOV:A,N
player=0,MOV:H,N
player=1,MOV:A,S
player=0,MOV:H,S
player=1,MOV:A,N
player=0,MOV:H,N
player=1,MOV:A,S
player=0,MOV:H,S
player=1,MOV:A,N
player=0,MOV:H,N
player=1,MOV:A,S
player=0,MOV:H,S
player=1,MOV:A,N
player=0,MOV:H,N
player=1,MOV:A,S
player=0,MOV:H,S
player=1,MOV:A,N
player=0,MOV:H,N
player=1,MOV:A,S
player=0,MOV:H,S
player=1,MOV:A,N
player=0,MOV:H,N
player=1,MOV:A,S
player=0,MOV:H,S
player=1,MOV:A,N
player=0,MOV:H,N
player=1,MOV:A,S
player=0,MOV:H,S
player=1,MOV:A,N
player=0,MOV:H,N
player=1,MOV:A,S
player=0,MOV:H,S
player=1,MOV:A,N
player=0,MOV:H,N
player=1,MOV:A,S
player=0,MOV:H,S
player=1,MOV:A,N
player=0,MOV:H,N
player=1,MOV:A,S
player=0,MOV:H,S
player=1,MOV:A,N
player=0,MOV:H,N
player=1,MOV:A,S
player=0,MOV:H,S
player=1,MOV:A,N
player=0,MOV:H,N
player=1,MOV:A,S
player=0,MOV:H,S
player=1,MOV:A,N
player=0,MOV:H,N
player=1,MOV:A,S
player=0,MOV:H,S
player=1,MOV:A,N
player=0,MOV:H,N
player=1,MOV:A,S
player=0,MOV:H,S
player=1,MOV:A,N
player=0,MOV:H,N
player=1,MOV:A,S
player=0,MOV:H,S
player=1,MOV:A,N
player=0,MOV:H,N
player=1,MOV:A,S
player=0,MOV:H,S
player=1,MOV:A,N
player=0,MOV:H,N
player=1,MOV:A,S
player=0,MOV:H,S
player=1,MOV:A,N
player=0,MOV:H,N
player=1,MOV:A,S
player=0,MOV:H,S
player=1,MOV:A,N
player=0,MOV:H,N
player=1,MOV:A,S
player=0,MOV:H,S
player=1,MOV:A,N
player=0,MOV:H,N
player=1,MOV:A,S
player=0,MOV:H,S
player=1,MOV:A,N
player=0,MOV:H,N
player=1,MOV:A,S
player=0,MOV:H,S
player=1,MOV:A,N
player=0,MOV:H,N
player=1,MOV:A,S
player=0,MOV:H,S
player=1,MOV:A,N
player=0,MOV:H,N
player=1,MOV:A,S
player=0,MOV:H,S
player=1,MOV:A,N
player=0,MOV:H,N
player=1,MOV:A,S
player=0,MOV:H,S
player=1,MOV:A,N
player=0,MOV:H,N
player=1,MOV:A,S
player=0,MOV:H,S
player=1,MOV:A,N
player=0,MOV:H,N
player=1,MOV:A,S
player=0,MOV:H,S
player=1,MOV:A,N
player=0,MOV:H,N
player=1,MOV:A,S
player=0,MOV:H,S
player=1,MOV:A,N
player=0,MOV:H,N
player=1,MOV:A,S
player=0,MOV:H,S
player=1,MOV:A,N
player=0,MOV:H,N
player=1,MOV:A,S
player=0,MOV:H,S
player=1,MOV:A,N
player=0,MOV:H,N
player=1,MOV:A,S
player=0,MOV:H,S
player=1,MOV:A,N
player=0,MOV:H,N
player=1,MOV:A,S
player=0,MOV:H,S
player=1,MOV:A,N
player=0,MOV:H,N
player=1,MOV:A,S
player=0,MOV:H,S
player=1,MOV:A,N
player=0,MOV:H,N
player=1,MOV:A,S
player=0,MOV:H,S
player=1,MOV:A,N
winner=2
