player=0,SET:DFGH
player=1,SET:ACEH
player=0,MOV:A,N
player=1,MOV:A,N
player=0,MOV:A,W
player=1,MOV:A,N
player=0,MOV:B,W
player=1,MOV:A,W
player=0,MOV:B,W
player=1,MOV:A,N
player=0,MOV:C,N
player=1,MOV:A,N
player=0,MOV:C,E
player=1,MOV:B,N
player=0,MOV:C,E
player=1,MOV:B,N
player=0,MOV:D,N
player=1,MOV:B,N
player=0,MOV:G,N
player=1,MOV:C,N
player=0,MOV:D,N
player=1,MOV:C,N
player=0,MOV:A,N
player=1,MOV:C,N
player=0,MOV:D,N
player=1,MOV:C,E
player=0,MOV:E,N
player=1,MOV:D,N
player=0,MOV:A,E
player=1,MOV:E,W
player=0,MOV:D,N
player=1,MOV:E,N
player=0,MOV:D,W
player=1,MOV:G,N
player=0,MOV:D,S
player=1,MOV:G,S
player=0,MOV:D,N
player=1,MOV:G,N
player=0,MOV:D,S
player=1,MOV:G,S
player=0,MOV:D,N
player=1,MOV:G,N
player=0,MOV:D,S
player=1,MOV:G,S
player=0,MOV:D,N
player=1,MOV:G,N
player=0,MOV:D,S
player=1,MOV:G,S
player=0,MOV:D,N
player=1,MOV:G,N
player=0,MOV:D,S
player=1,MOV:G,S
player=0,MOV:D,N
player=1,MOV:G,N
player=0,MOV:D,S
player=1,MOV:G,S
player=0,MOV:D,N
player=1,MOV:G,N
player=0,MOV:D,S
player=1,MOV:G,S
player=0,MOV:D,N
player=1,MOV:G,N
player=0,MOV:D,S
player=1,MOV:G,S
player=0,MOV:D,N
player=1,MOV:G,N
player=0,MOV:D,S
player=1,MOV:G,S
player=0,MOV:D,N
player=1,MOV:G,N
player=0,MOV:D,S
player=1,MOV:G,S
player=0,MOV:D,N
player=1,MOV:G,N
player=0,MOV:D,S
player=1,MOV:G,S
player=0,MOV:D,N
player=1,MOV:G,N
player=0,MOV:D,S
player=1,MOV:G,S
player=0,MOV:D,N
player=1,MOV:G,N
player=0,MOV:D,S
player=1,MOV:G,S
player=0,MOV:D,N
player=1,MOV:G,N
player=0,MOV:D,S
player=1,MOV:G,S
player=0,MOV:D,N
player=1,MOV:G,N
player=0,MOV:D,S
player=1,MOV:G,S
player=0,MOV:D,N
player=1,MOV:G,N
player=0,MOV:D,S
player=1,MOV:G,S
player=0,MOV:D,N
player=1,MOV:G,N
player=0,MOV:D,S
player=1,MOV:G,S
player=0,MOV:D,N
player=1,MOV:G,N
player=0,MOV:D,S
player=1,MOV:G,S
player=0,MOV:D,N
player=1,MOV:G,N
player=0,MOV:D,S
player=1,MOV:G,S
player=0,MOV:D,N
player=1,MOV:G,N
player=0,MOV:D,S
player=1,MOV:G,S
player=0,MOV:D,N
player=1,MOV:G,N
player=0,MOV:D,S
player=1,MOV:G,S
player=0,MOV:D,N
player=1,MOV:G,N
player=0,MOV:D,S
player=1,MOV:G,S
player=0,MOV:D,N
player=1,MOV:G,N
player=0,MOV:D,S
player=1,MOV:G,S
player=0,MOV:D,N
player=1,MOV:G,N
player=0,MOV:D,S
player=1,MOV:G,S
player=0,MOV:D,N
player=1,MOV:G,N
player=0,MOV:D,S
player=1,MOV:G,S
player=0,MOV:D,N
player=1,MOV:G,N
player=0,MOV:D,S
player=1,MOV:G,S
player=0,MOV:D,N
player=1,MOV:G,N
player=0,MOV:D,S
player=1,MOV:G,S
player=0,MOV:D,N
player=1,MOV:G,N
player=0,MOV:D,S
player=1,MOV:G,S
player=0,MOV:D,N
player=1,MOV:G,N
player=0,MOV:D,S
player=1,MOV:G,S
player=0,MOV:D,N
player=1,MOV:G,N
player=0,MOV:D,S
player=1,MOV:G,S
player=0,MOV:D,N
player=1,MOV:G,N
player=0,MOV:D,S
player=1,MOV:G,S
player=0,MOV:D,N
player=1,MOV:G,N
player=0,MOV:D,S
player=1,MOV:G,S
player=0,MOV:D,N
player=1,MOV:G,N
player=0,MOV:D,S
player=1,MOV:G,S
player=0,MOV:D,N
player=1,MOV:G,N
player=0,MOV:D,S
player=1,MOV:G,S
player=0,MOV:D,N
player=1,MOV:G,N
player=0,MOV:D,S
player=1,MOV:G,S
player=0,MOV:D,N
player=1,MOV:G,N
player=0,MOV:D,S
player=1,MOV:G,S
player=0,MOV:D,N
player=1,MOV:G,N
player=0,MOV:D,S
player=1,MOV:G,S
player=0,MOV:D,N
player=1,MOV:G,N
player=0,MOV:D,S
player=1,MOV:G,S
player=0,MOV:D,N
player=1,MOV:G,N
player=0,MOV:D,S
player=1,MOV:G,S
player=0,MOV:D,N
player=1,MOV:G,N
player=0,MOV:D,S
player=1,MOV:G,S
player=0,MOV:D,N
player=1,MOV:G,N
player=0,MOV:D,S
player=1,MOV:G,S
player=0,MOV:D,N
player=1,MOV:G,N
player=0,MOV:D,S
player=1,MOV:G,S
player=0,MOV:D,N
player=1,MOV:G,N
player=0,MOV:D,S
player=1,MOV:G,S
player=0,MOV:D,N
player=1,MOV:G,N
player=0,MOV:D,S
player=1,MOV:G,S
player=0,MOV:D,N
player=1,MOV:G,N
player=0,MOV:D,S
player=1,MOV:G,S
player=0,MOV:D,N
player=1,MOV:G,N
player=0,MOV:D,S
player=1,MOV:G,S
player=0,MOV:D,N
player=1,MOV:G,N
player=0,MOV:D,S
player=1,MOV:G,S
player=0,MOV:D,N
player=1,MOV:G,N
player=0,MOV:D,S
player=1,MOV:G,S
player=0,MOV:D,N
player=1,MOV:G,N
player=0,MOV:D,S
player=1,MOV:G,S
player=0,MOV:D,N
player=1,MOV:G,N
player=0,MOV:D,S
player=1,MOV:G,S
player=0,MOV:D,N
player=1,MOV:G,N
player=0,MOV:D,S
player=1,MOV:G,S
player=0,MOV:D,N
player=1,MOV:G,N
player=0,MOV:D,S
player=1,MOV:G,S
player=0,MOV:D,N
player=1,MOV:G,N
player=0,MOV:D,S
player=1,MOV:G,S
player=0,MOV:D,N
player=1,MOV:G,N
player=0,MOV:D,S
player=1,MOV:G,S
player=0,MOV:D,N
player=1,MOV:G,N
player=0,MOV:D,S
player=1,MOV:G,S
player=0,MOV:D,N
player=1,MOV:G,N
player=0,MOV:D,S
player=1,MOV:G,S
player=0,MOV:D,N
player=1,MOV:G,N
player=0,MOV:D,S
player=1,MOV:G,S
player=0,MOV:D,N
player=1,MOV:G,N
player=0,MOV:D,S
player=1,MOV:G,S
player=0,MOV:D,N
player=1,MOV:G,N
player=0,MOV:D,S
player=1,MOV:G,S
player=0,MOV:D,N
player=1,MOV:G,N
player=0,MOV:D,S
player=1,MOV:G,S
player=0,MOV:D,N
player=1,MOV:G,N
player=0,MOV:D,S
player=1,MOV:G,S
player=0,MOV:D,N
player=1,MOV:G,N
player=0,MOV:D,S
player=1,MOV:G,S
player=0,MOV:D,N
player=1,MOV:G,N
player=0,MOV:D,S
player=1,MOV:G,S
player=0,MOV:D,N
player=1,MOV:G,N
player=0,MOV:D,S
player=1,MOV:G,S
player=0,MOV:D,N
player=1,MOV:G,N
player=0,MOV:D,S
player=1,MOV:G,S
player=0,MOV:D,N
player=1,MOV:G,N
player=0,MOV:D,S
player=1,MOV:G,S
player=0,MOV:D,N
player=1,MOV:G,N
player=0,MOV:D,S
player=1,MOV:G,S
player=0,MOV:D,N
player=1,MOV:G,N
winner=2
