player=1,SET:DFGH
player=0,SET:BDFH
player=0,MOV:A,W
player=1,MOV:A,N
player=0,MOV:B,N
player=1,MOV:A,E
player=0,MOV:B,E
player=1,MOV:A,E
player=0,MOV:B,N
player=1,MOV:A,W
player=0,MOV:C,W
player=1,MOV:A,N
player=0,MOV:A,N
player=1,MOV:A,S
player=0,MOV:C,W
player=1,MOV:A,N
player=0,MOV:C,W
player=1,MOV:A,E
player=0,MOV:D,N
player=1,MOV:A,S
player=0,MOV:D,N
player=1,MOV:A,N
player=0,MOV:D,N
player=1,MOV:B,W
player=0,MOV:F,N
player=1,MOV:A,S
player=0,MOV:F,N
player=1,MOV:A,N
player=0,MOV:G,N
player=1,MOV:A,S
player=0,MOV:G,N
player=1,MOV:A,N
player=0,MOV:G,E
player=1,MOV:B,E
player=0,MOV:G,N
player=1,MOV:A,N
player=0,MOV:G,E
player=1,MOV:A,S
player=0,MOV:G,N
player=1,MOV:A,N
player=0,MOV:G,S
player=1,MOV:A,S
player=0,MOV:G,N
player=1,MOV:A,N
player=0,MOV:G,S
player=1,MOV:A,S
player=0,MOV:G,N
player=1,MOV:A,N
player=0,MOV:G,S
player=1,MOV:A,S
player=0,MOV:G,N
player=1,MOV:A,N
player=0,MOV:G,S
player=1,MOV:A,S
player=0,MOV:G,N
player=1,MOV:A,N
player=0,MOV:G,S
player=1,MOV:A,S
player=0,MOV:G,N
player=1,MOV:A,N
player=0,MOV:G,S
player=1,MOV:A,S
player=0,MOV:G,N
player=1,MOV:A,N
player=0,MOV:G,S
player=1,MOV:A,S
player=0,MOV:G,N
player=1,MOV:A,N
player=0,MOV:G,S
player=1,MOV:A,S
player=0,MOV:G,N
player=1,MOV:A,N
player=0,MOV:G,S
player=1,MOV:A,S
player=0,MOV:G,N
player=1,MOV:A,N
player=0,MOV:G,S
player=1,MOV:A,S
player=0,MOV:G,N
player=1,MOV:A,N
player=0,MOV:G,S
player=1,MOV:A,S
player=0,MOV:G,N
player=1,MOV:A,N
player=0,MOV:G,S
player=1,MOV:A,S
player=0,MOV:G,N
player=1,MOV:A,N
player=0,MOV:G,S
player=1,MOV:A,S
player=0,MOV:G,N
player=1,MOV:A,N
player=0,MOV:G,S
player=1,MOV:A,S
player=0,MOV:G,N
player=1,MOV:A,N
player=0,MOV:G,S
player=1,MOV:A,S
