player=0,SET:ADEH
player=1,SET:ABFG
player=0,MOV:A,N
player=1,MOV:A,N
player=0,MOV:A,N
player=1,MOV:D,E
player=0,MOV:A,N
player=1,MOV:C,E
player=0,MOV:D,N
player=1,MOV:A,W
player=0,MOV:D,N
player=1,MOV:B,W
player=0,MOV:D,N
player=1,MOV:E,W
player=0,MOV:D,N
player=1,MOV:F,W
player=0,MOV:E,N
player=1,MOV:A,N
player=0,MOV:E,N
player=1,MOV:A,N
player=0,MOV:E,N
player=1,MOV:C,N
player=0,MOV:H,N
player=1,MOV:A,N
player=0,MOV:H,N
player=1,MOV:C,E
player=0,MOV:H,N
player=1,MOV:F,N
player=0,MOV:H,N
player=1,MOV:A,E
player=0,MOV:H,N
player=1,MOV:A,S
player=0,MOV:H,E
player=1,MOV:A,N
player=0,MOV:H,S
player=1,MOV:A,S
player=0,MOV:H,N
player=1,MOV:A,N
player=0,MOV:H,S
player=1,MOV:A,S
player=0,MOV:H,N
player=1,MOV:A,N
player=0,MOV:H,S
player=1,MOV:A,S
player=0,MOV:H,N
player=1,MOV:A,N
player=0,MOV:H,S
player=1,MOV:A,S
player=0,MOV:H,N
player=1,MOV:A,N
player=0,MOV:H,S
player=1,MOV:A,S
player=0,MOV:H,N
player=1,MOV:A,N
player=0,MOV:H,S
player=1,MOV:A,S
player=0,MOV:H,N
player=1,MOV:A,N
player=0,MOV:H,S
player=1,MOV:A,S
player=0,MOV:H,N
player=1,MOV:A,N
player=0,MOV:H,S
player=1,MOV:A,S
player=0,MOV:H,N
player=1,MOV:A,N
player=0,MOV:H,S
player=1,MOV:A,S
player=0,MOV:H,N
player=1,MOV:A,N
player=0,MOV:H,S
player=1,MOV:A,S
player=0,MOV:H,N
player=1,MOV:A,N
player=0,MOV:H,S
player=1,MOV:A,S
player=0,MOV:H,N
player=1,MOV:A,N
player=0,MOV:H,S
player=1,MOV:A,S
player=0,MOV:H,N
player=1,MOV:A,N
player=0,MOV:H,S
player=1,MOV:A,S
player=0,MOV:H,N
player=1,MOV:A,N
player=0,MOV:H,S
player=1,MOV:A,S
player=0,MOV:H,N
player=1,MOV:A,N
player=0,MOV:H,S
player=1,MOV:A,S
player=0,MOV:H,N
player=1,MOV:A,N
player=0,MOV:H,S
player=1,MOV:A,S
player=0,MOV:H,N
player=1,MOV:A,N
player=0,MOV:H,S
player=1,MOV:A,S
player=0,MOV:H,N
player=1,MOV:A,N
player=0,MOV:H,S
player=1,MOV:A,S
player=0,MOV:H,N
player=1,MOV:A,N
player=0,MOV:H,S
player=1,MOV:A,S
player=0,MOV:H,N
player=1,MOV:A,N
player=0,MOV:H,S
player=1,MOV:A,S
player=0,MOV:H,N
player=1,MOV:A,N
player=0,MOV:H,S
player=1,MOV:A,S
player=0,MOV:H,N
player=1,MOV:A,N
player=0,MOV:H,S
player=1,MOV:A,S
player=0,MOV:H,N
player=1,MOV:A,N
player=0,MOV:H,S
player=1,MOV:A,S
player=0,MOV:H,N
player=1,MOV:A,N
player=0,MOV:H,S
player=1,MOV:A,S
player=0,MOV:H,N
player=1,MOV:A,N
player=0,MOV:H,S
player=1,MOV:A,S
player=0,MOV:H,N
player=1,MOV:A,N
player=0,MOV:H,S
player=1,MOV:A,S
player=0,MOV:H,N
player=1,MOV:A,N
player=0,MOV:H,S
player=1,MOV:A,S
player=0,MOV:H,N
player=1,MOV:A,N
player=0,MOV:H,S
player=1,MOV:A,S
player=0,MOV:H,N
player=1,MOV:A,N
player=0,MOV:H,S
player=1,MOV:A,S
player=0,MOV:H,N
player=1,MOV:A,N
player=0,MOV:H,S
player=1,MOV:A,S
player=0,MOV:H,N
player=1,MOV:A,N
player=0,MOV:H,S
player=1,MOV:A,S
player=0,MOV:H,N
player=1,MOV:A,N
player=0,MOV:H,S
player=1,MOV:A,S
player=0,MOV:H,N
player=1,MOV:A,N
player=0,MOV:H,S
player=1,MOV:A,S
player=0,MOV:H,N
player=1,MOV:A,N
player=0,MOV:H,S
player=1,MOV:A,S
player=0,MOV:H,N
player=1,MOV:A,N
player=0,MOV:H,S
player=1,MOV:A,S
player=0,MOV:H,N
player=1,MOV:A,N
player=0,MOV:H,S
player=1,MOV:A,S
player=0,MOV:H,N
player=1,MOV:A,N
player=0,MOV:H,S
player=1,MOV:A,S
player=0,MOV:H,N
player=1,MOV:A,N
player=0,MOV:H,S
player=1,MOV:A,S
player=0,MOV:H,N
player=1,MOV:A,N
player=0,MOV:H,S
player=1,MOV:A,S
player=0,MOV:H,N
player=1,MOV:A,N
player=0,MOV:H,S
player=1,MOV:A,S
player=0,MOV:H,N
player=1,MOV:A,N
player=0,MOV:H,S
player=1,MOV:A,S
player=0,MOV:H,N
player=1,MOV:A,N
player=0,MOV:H,S
player=1,MOV:A,S
player=0,MOV:H,N
player=1,MOV:A,N
player=0,MOV:H,S
player=1,MOV:A,S
player=0,MOV:H,N
player=1,MOV:A,N
player=0,MOV:H,S
player=1,MOV:A,S
player=0,MOV:H,N
player=1,MOV:A,N
player=0,MOV:H,S
player=1,MOV:A,S
player=0,MOV:H,N
player=1,MOV:A,N
player=0,MOV:H,S
player=1,MOV:A,S
player=0,MOV:H,N
player=1,MOV:A,N
player=0,MOV:H,S
player=1,MOV:A,S
player=0,MOV:H,N
player=1,MOV:A,N
player=0,MOV:H,S
player=1,MOV:A,S
player=0,MOV:H,N
player=1,MOV:A,N
player=0,MOV:H,S
player=1,MOV:A,S
player=0,MOV:H,N
player=1,MOV:A,N
player=0,MOV:H,S
player=1,MOV:A,S
player=0,MOV:H,N
player=1,MOV:A,N
player=0,MOV:H,S
player=1,MOV:A,S
player=0,MOV:H,N
player=1,MOV:A,N
player=0,MOV:H,S
player=1,MOV:A,S
player=0,MOV:H,N
player=1,MOV:A,N
player=0,MOV:H,S
player=1,MOV:A,S
player=0,MOV:H,N
player=1,MOV:A,N
player=0,MOV:H,S
player=1,MOV:A,S
player=0,MOV:H,N
player=1,MOV:A,N
player=0,MOV:H,S
player=1,MOV:A,S
player=0,MOV:H,N
player=1,MOV:A,N
player=0,MOV:H,S
player=1,MOV:A,S
player=0,MOV:H,N
player=1,MOV:A,N
player=0,MOV:H,S
player=1,MOV:A,S
player=0,MOV:H,N
player=1,MOV:A,N
player=0,MOV:H,S
player=1,MOV:A,S
player=0,MOV:H,N
player=1,MOV:A,N
player=0,MOV:H,S
player=1,MOV:A,S
player=0,MOV:H,N
player=1,MOV:A,N
player=0,MOV:H,S
player=1,MOV:A,S
player=0,MOV:H,N
player=1,MOV:A,N
player=0,MOV:H,S
player=1,MOV:A,S
player=0,MOV:H,N
player=1,MOV:A,N
player=0,MOV:H,S
player=1,MOV:A,S
player=0,MOV:H,N
player=1,MOV:A,N
player=0,MOV:H,S
player=1,MOV:A,S
player=0,MOV:H,N
player=1,MOV:A,N
player=0,MOV:H,S
player=1,MOV:A,S
player=0,MOV:H,N
player=1,MOV:A,N
player=0,MOV:H,S
player=1,MOV:A,S
player=0,MOV:H,N
player=1,MOV:A,N
player=0,MOV:H,S
player=1,MOV:A,S
player=0,MOV:H,N
player=1,MOV:A,N
player=0,MOV:H,S
player=1,MOV:A,S
player=0,MOV:H,N
player=1,MOV:A,N
winner=2
